Страница или кластер;Что было;Что предлагается;Тип изменения;Причина;Влияние на текущий URL;Необходимость редиректа;SEO-риск;Приоритет
Интеграции;/web-studiya/sozdanie-saitov/integratsii;/web-studiya/sozdanie-saitov/integratsii;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P2
Интеграция с CRM;/crm/integratsiya-s-crm;/crm/integratsiya-s-crm;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P2
Кейсы: CRM;/keysy/crm;/keysy/crm;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P2
Кейсы: Академия;/keysy/akademiya;/keysy/akademiya;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P2
Кейсы: партнёры;/keysy/partnery;/keysy/partnery;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P2
Контекстная реклама в Google;/web-studiya/kontekstnaya-reklama/google-ads;/contextnaya-reklama-google;UPDATE;"Сохраняем старый URL с данными GSC; новый адрес из карты не создаём как дубль.";Старый индексируемый URL сохраняется;Да, если старый URL опубликован;Средний;P2
Контекстная реклама в Яндекс;/web-studiya/kontekstnaya-reklama/yandex-direct;/contextnaya-reklama-yandex;UPDATE;"Сохраняем старый URL с кликами и показами GSC; вложенный адрес не нужен.";Старый индексируемый URL сохраняется;Да, если старый URL опубликован;Средний;P2
Корпоративное обучение;/akademiya/korporativnoe-obuchenie;/akademiya/korporativnoe-obuchenie;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P2
Обучение R-Builder;/akademiya/obuchenie-r-builder;/akademiya/obuchenie-r-builder;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P2
Обучение SEO и AEO;/akademiya/obuchenie-seo-aeo;/akademiya/obuchenie-seo-aeo;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P2
Обучение созданию сайтов;/akademiya/obuchenie-sozdaniyu-saytov;/akademiya/obuchenie-sozdaniyu-saytov;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P2
Пакеты партнёрства;/partneram/pakety-partnerstva;/partneram/pakety-partnerstva;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P2
Партнёрская программа — франшиза;/partneram/franshiza;/partneram/franshiza;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P2
Продвижение в Google;/web-studiya/seo-prodvizhenie/google;/web-studiya/seo-prodvizhenie/google;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P2
Продвижение в Яндекс;/web-studiya/seo-prodvizhenie/yandex;/web-studiya/seo-prodvizhenie/yandex;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P2
Разработка онлайн-калькуляторов;/web-studiya/sozdanie-saitov/onlayn-kalkulyatory;/web-studiya/sozdanie-saitov/onlayn-kalkulyatory;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P2
Редизайн сайтов;/web-studiya/sozdanie-saitov/redizayn-sayta;/web-studiya/sozdanie-saitov/redizayn-sayta;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P2
Создание онлайн-школ;/web-studiya/sozdanie-saitov/onlayn-shkola;/sozdanie-onlain-shkol-i-kursov;UPDATE;Сохраняем старый URL с кликами и показами GSC вместо создания второго адреса под тот же интент.;Старый индексируемый URL сохраняется;Да, если старый URL опубликован;Средний;P2
Создание сайта-визитки;/web-studiya/sozdanie-saitov/sayt-vizitka;/web-studiya/sozdanie-saitov/sayt-vizitka;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P2
Что такое R-Builder;/r-builder/chto-takoe-r-builder;/r-builder/chto-takoe-r-builder;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P2
/faq/aeo;Запланированная отдельная страница;"Не создавать; перенести блок в /web-studiya/aeo-geo-prodvizhenie";MERGE;FAQ следует встроить в AEO/GEO-страницу.;Нет: URL не найден в sitemap/GSC;Нет;Низкий;P2
/faq/akademiya;Запланированная отдельная страница;"Не создавать; перенести блок в /akademiya";MERGE;FAQ следует встроить в Академию.;Нет: URL не найден в sitemap/GSC;Нет;Низкий;P2
/faq/crm;Запланированная отдельная страница;"Не создавать; перенести блок в /crm";MERGE;FAQ следует встроить в CRM-хаб.;Нет: URL не найден в sitemap/GSC;Нет;Низкий;P2
/faq/partnerstvo;Запланированная отдельная страница;"Не создавать; перенести блок в /partneram";MERGE;FAQ следует встроить в партнёрский хаб.;Нет: URL не найден в sitemap/GSC;Нет;Низкий;P2
/faq/sayty;Запланированная отдельная страница;"Не создавать; перенести блок в /sozdanie-saitov";MERGE;"FAQ следует встроить в услуговую страницу; отдельная страница была бы тонким дублем.";Нет: URL не найден в sitemap/GSC;Нет;Низкий;P2
/faq/seo;Запланированная отдельная страница;"Не создавать; перенести блок в /seo-prodvizhenie-sajtov";MERGE;"FAQ следует встроить в SEO-страницу; отдельная страница была бы тонким дублем.";Нет: URL не найден в sitemap/GSC;Нет;Низкий;P2
/web-studiya/sozdanie-saitov/crm-sistemy;Запланированная отдельная страница;"Не создавать; перенести блок в /crm/vnedrenie-crm";MERGE;Внедрение CRM уже покрывается самостоятельным CRM-разделом.;Нет: URL не найден в sitemap/GSC;Нет;Низкий;P2
/web-studiya/sozdanie-saitov/obsluzhivanie-saytov;Запланированная отдельная страница;"Не создавать; перенести блок в /web-studiya/podderzhka-saytov";MERGE;Обслуживание и поддержка сайта — один коммерческий интент.;Нет: URL не найден в sitemap/GSC;Нет;Низкий;P2
/optovye-postavki-svarochnykh-materialov;Старый URL (GSC/sitemap);Удалить / закрыть от индексации;REMOVE;"Нерелевантная страница не относится к услугам Raskrutov; редирект на услугу был бы нерелевантным.";URL перестаёт индексироваться;Нет;"Высокий при наличии внешних ссылок; проверить перед удалением";P2
/page74;Старый URL (GSC/sitemap);Удалить / закрыть от индексации;REMOVE;Технический/временный URL без понятного назначения.;URL перестаёт индексироваться;Нет;"Высокий при наличии внешних ссылок; проверить перед удалением";P2
/preimushchestva-sozdaniya-sajtov-v-kazakhstane;Старый URL (GSC/sitemap);/preimushchestva-sozdaniya-sajtov-v-kazakhstane;NOINDEX;"Назначение не подтверждено автоматически; требуется ручная проверка контента.";URL перестаёт индексироваться;Нет;Средний: решение требует ручной проверки;P2
/targetnaya-reklama;Старый URL (GSC/sitemap);/targetnaya-reklama;NOINDEX;"Направление не подтверждено в текущем перечне услуг; оставить до ручного решения без индексации.";URL перестаёт индексироваться;Нет;Средний: решение требует ручной проверки;P2
/uslugi-instagram;Старый URL (GSC/sitemap);/uslugi-instagram;NOINDEX;"Направление не подтверждено в текущем перечне услуг; оставить до ручного решения без индексации.";URL перестаёт индексироваться;Нет;Средний: решение требует ручной проверки;P2
/uslugi-po-sozdaniyu-i-prodvizheniyu-sajtov-v-kazakhstane-ot-kompanii-raskrutov;Старый URL (GSC/sitemap);/uslugi-po-sozdaniyu-i-prodvizheniyu-sajtov-v-kazakhstane-ot-kompanii-raskrutov;NOINDEX;"Назначение не подтверждено автоматически; требуется ручная проверка контента.";URL перестаёт индексироваться;Нет;Средний: решение требует ручной проверки;P2
/videoroliki-dlya-biznesa;Старый URL (GSC/sitemap);/videoroliki-dlya-biznesa;NOINDEX;"Направление не подтверждено в текущем перечне услуг; оставить до ручного решения без индексации.";URL перестаёт индексироваться;Нет;Средний: решение требует ручной проверки;P2
/-sozdanie-sajtov-v-petropavlovske-zakazat-sajt-v-raskrutov;Старый URL (GSC/sitemap);/sozdanie-saitov-v-Petropavlovske;REDIRECT;Консолидация нескольких страниц под один локальный коммерческий интент.;301 на /sozdanie-saitov-v-Petropavlovske;Да;Средний: проверить перенос контента и релевантность;P3
/Kak-Raskrutov-pomagaet-vashemu-biznesu-cherez-sozdanie-saitov;Старый URL (GSC/sitemap);/sozdanie-saitov;REDIRECT;Общий коммерческий интент создания сайтов.;301 на /sozdanie-saitov;Да;Средний: проверить перенос контента и релевантность;P3
/SEO-optimizaciya-s-Raskrutov-Vash-sait-na-vershine-poiskovyh-sistem;Старый URL (GSC/sitemap);/seo-prodvizhenie-sajtov;REDIRECT;Общий коммерческий SEO-интент консолидируется на основной услуге.;301 на /seo-prodvizhenie-sajtov;Да;Средний: проверить перенос контента и релевантность;P3
/ehffektivnoe-seo-prodvizhenie-sajtov-v-petropavlovske-raskrutov;Старый URL (GSC/sitemap);/seo-prodvizhenie-sajtov-v-petropavlovske;REDIRECT;Коммерческие дубли объединяются с локальной SEO-страницей.;301 на /seo-prodvizhenie-sajtov-v-petropavlovske;Да;Средний: проверить перенос контента и релевантность;P3
/kak-seo-prodvizhenie-pomogaet-uvelichit-trafik-na-sajt;Старый URL (GSC/sitemap);/seo-prodvizhenie-sajtov;REDIRECT;Общий коммерческий SEO-интент консолидируется на основной услуге.;301 на /seo-prodvizhenie-sajtov;Да;Средний: проверить перенос контента и релевантность;P3
/kejsy;Старый URL (GSC/sitemap);/keysy;REDIRECT;Консолидация дубля в выбранный канонический URL.;301 на /keysy;Да;Средний: проверить перенос контента и релевантность;P3
/kontakty;Старый URL (GSC/sitemap);/kontakti;REDIRECT;Консолидация дубля в выбранный канонический URL.;301 на /kontakti;Да;Средний: проверить перенос контента и релевантность;P3
/kupit-gotovyj-sajt-v-petropavlovske-veb-studiya-raskrutov;Старый URL (GSC/sitemap);/sozdanie-saitov-v-Petropavlovske;REDIRECT;Локальный коммерческий интент создания сайтов объединяется с геостраницей Петропавловска.;301 на /sozdanie-saitov-v-Petropavlovske;Да;Средний: проверить перенос контента и релевантность;P3
/kupit-nedorogoj-sajt-v-petropavlovske-raskrutov;Старый URL (GSC/sitemap);/sozdanie-saitov-v-Petropavlovske;REDIRECT;Локальный коммерческий интент создания сайтов объединяется с геостраницей Петропавловска.;301 на /sozdanie-saitov-v-Petropavlovske;Да;Средний: проверить перенос контента и релевантность;P3
/o-kompanii/o-nas;Старый URL (GSC/sitemap);/about-us;REDIRECT;Консолидация дубля в выбранный канонический URL.;301 на /about-us;Да;Средний: проверить перенос контента и релевантность;P3
/obsluzhivanie-sajtov-v-kazakhstane-zakazat-v-studii-raskrutov;Старый URL (GSC/sitemap);/web-studiya/podderzhka-saytov;REDIRECT;Обслуживание и поддержка — один коммерческий интент.;301 на /web-studiya/podderzhka-saytov;Да;Средний: проверить перенос контента и релевантность;P3
/partnership;Старый URL (GSC/sitemap);/partneram;REDIRECT;Консолидация дубля в выбранный канонический URL.;301 на /partneram;Да;Средний: проверить перенос контента и релевантность;P3
/prodvizhenie-korporativnykh-sajtov-v-kazakhstane-raskrutov;Старый URL (GSC/sitemap);/web-studiya/sozdanie-saitov/korporativnyy-sayt;REDIRECT;Дубль услуги корпоративных сайтов.;301 на /web-studiya/sozdanie-saitov/korporativnyy-sayt;Да;Средний: проверить перенос контента и релевантность;P3
/prodvizhenie-sajta-v-google-i-yandeks-v-petropavlovske-raskrutov;Старый URL (GSC/sitemap);/seo-prodvizhenie-sajtov-v-petropavlovske;REDIRECT;Коммерческие дубли объединяются с локальной SEO-страницей.;301 на /seo-prodvizhenie-sajtov-v-petropavlovske;Да;Средний: проверить перенос контента и релевантность;P3
/prodvizhenie-sajtov-v-astane-kak-optimizirovat-kontent-dlya-poiskovykh-sistem;Старый URL (GSC/sitemap);/seo-prodvizhenie-sajtov-v-astane;REDIRECT;Материал об SEO в Астане объединяется с локальной SEO-страницей.;301 на /seo-prodvizhenie-sajtov-v-astane;Да;Средний: проверить перенос контента и релевантность;P3
/prodvizhenie-sajtov-v-gorodakh-kazakhstana-zakazat-v-raskrutov;Старый URL (GSC/sitemap);/seo-prodvizhenie-sajtov;REDIRECT;Общий коммерческий SEO-интент консолидируется на основной услуге.;301 на /seo-prodvizhenie-sajtov;Да;Средний: проверить перенос контента и релевантность;P3
/prodvizhenie-sajtov-v-petropavlovske-i-sko-zakazat-v-raskrutov;Старый URL (GSC/sitemap);/seo-prodvizhenie-sajtov-v-petropavlovske;REDIRECT;Коммерческие дубли объединяются с локальной SEO-страницей.;301 на /seo-prodvizhenie-sajtov-v-petropavlovske;Да;Средний: проверить перенос контента и релевантность;P3
/prodvizhenie-sajtov-v-petropavlovske-kak-ispolzovat-socialnye-seti-dlya-uvelicheniya-trafika;Старый URL (GSC/sitemap);/seo-prodvizhenie-sajtov-v-petropavlovske;REDIRECT;Коммерческие дубли объединяются с локальной SEO-страницей.;301 на /seo-prodvizhenie-sajtov-v-petropavlovske;Да;Средний: проверить перенос контента и релевантность;P3
/prodvizhenie-sajtov-v-petropavlovske-kak-uluchshit-vidimost-v-poiskovykh-sistemakh;Старый URL (GSC/sitemap);/seo-prodvizhenie-sajtov-v-petropavlovske;REDIRECT;Коммерческие дубли объединяются с локальной SEO-страницей.;301 на /seo-prodvizhenie-sajtov-v-petropavlovske;Да;Средний: проверить перенос контента и релевантность;P3
/prodvizhenie-sajtov-v-petropavlovske-kak-vyvesti-sajt-v-top;Старый URL (GSC/sitemap);/seo-prodvizhenie-sajtov-v-petropavlovske;REDIRECT;Коммерческие дубли объединяются с локальной SEO-страницей.;301 на /seo-prodvizhenie-sajtov-v-petropavlovske;Да;Средний: проверить перенос контента и релевантность;P3
/professionalnoe-sozdanie-i-obsluzhivanie-sajtov-v-kazakhstane;Старый URL (GSC/sitemap);/web-studiya/podderzhka-saytov;REDIRECT;Обслуживание и поддержка — один коммерческий интент.;301 на /web-studiya/podderzhka-saytov;Да;Средний: проверить перенос контента и релевантность;P3
/razrabotka-i-prodvizhenie-sajtov-v-sko-zakazat-v-raskrutov;Старый URL (GSC/sitemap);/seo-prodvizhenie-sajtov;REDIRECT;Общий коммерческий SEO-интент консолидируется на основной услуге.;301 на /seo-prodvizhenie-sajtov;Да;Средний: проверить перенос контента и релевантность;P3
/razrabotka-korporativnykh-sajtov-v-kazakhstane-raskrutov;Старый URL (GSC/sitemap);/web-studiya/sozdanie-saitov/korporativnyy-sayt;REDIRECT;Дубль услуги корпоративных сайтов.;301 на /web-studiya/sozdanie-saitov/korporativnyy-sayt;Да;Средний: проверить перенос контента и релевантность;P3
/razrabotka-lendingov-v-petropavlovske-zakazat-v-raskrutov;Старый URL (GSC/sitemap);/web-studiya/sozdanie-saitov/landing;REDIRECT;Дубль услуги создания лендингов.;301 на /web-studiya/sozdanie-saitov/landing;Да;Средний: проверить перенос контента и релевантность;P3
/razrabotka-sajtov-v-kazakhstane-zakazat-sajt-v-raskrutov;Старый URL (GSC/sitemap);/sozdanie-saitov;REDIRECT;Общий коммерческий интент создания сайтов.;301 на /sozdanie-saitov;Да;Средний: проверить перенос контента и релевантность;P3
/sozdanie-i-raskrutka-internet-magazinov-v-kazakhstane-raskrutov;Старый URL (GSC/sitemap);/web-studiya/sozdanie-saitov/internet-magazin;REDIRECT;Дубль услуги создания интернет-магазинов.;301 на /web-studiya/sozdanie-saitov/internet-magazin;Да;Средний: проверить перенос контента и релевантность;P3
/sozdanie-sajtov-dlya-malogo-biznesa-v-petropavlovske-raskrutov;Старый URL (GSC/sitemap);/sozdanie-saitov-v-Petropavlovske;REDIRECT;Консолидация нескольких страниц под один локальный коммерческий интент.;301 на /sozdanie-saitov-v-Petropavlovske;Да;Средний: проверить перенос контента и релевантность;P3
/sozdanie-sajtov-dlya-uslug-v-petropavlovske-veb-studiya-raskrutov;Старый URL (GSC/sitemap);/sozdanie-saitov-v-Petropavlovske;REDIRECT;Консолидация нескольких страниц под один локальный коммерческий интент.;301 на /sozdanie-saitov-v-Petropavlovske;Да;Средний: проверить перенос контента и релевантность;P3
/sozdanie-sajtov-pod-klyuch-v-petropavlovske-studiya-raskrutov;Старый URL (GSC/sitemap);/sozdanie-saitov-v-Petropavlovske;REDIRECT;Консолидация нескольких страниц под один локальный коммерческий интент.;301 на /sozdanie-saitov-v-Petropavlovske;Да;Средний: проверить перенос контента и релевантность;P3
/sozdanie-sajtov-v-almaty-osobennosti-i-preimushchestva;Старый URL (GSC/sitemap);/sozdanie-saitov-v-almaty;REDIRECT;Консолидация дублирующих материалов об одной геоуслуге.;301 на /sozdanie-saitov-v-almaty;Да;Средний: проверить перенос контента и релевантность;P3
/sozdanie-sajtov-v-astane-pochemu-ehto-vazhno-dlya-vashego-biznesa;Старый URL (GSC/sitemap);/sozdanie-saitov-v-astane;REDIRECT;Консолидация дублирующих материалов об одной геоуслуге.;301 на /sozdanie-saitov-v-astane;Да;Средний: проверить перенос контента и релевантность;P3
/sozdanie-sajtov-v-astane-tendencii-i-innovacii-2024-goda;Старый URL (GSC/sitemap);/sozdanie-saitov-v-astane;REDIRECT;Консолидация дублирующих материалов об одной геоуслуге.;301 на /sozdanie-saitov-v-astane;Да;Средний: проверить перенос контента и релевантность;P3
/sozdanie-sajtov-v-kazakhstane-kak-obespechit-bezopasnost-i-zashchitu-dannykh;Старый URL (GSC/sitemap);/sozdanie-saitov;REDIRECT;Слабые дубли коммерческого интента объединяются с основной услугой.;301 на /sozdanie-saitov;Да;Средний: проверить перенос контента и релевантность;P3
/sozdanie-sajtov-v-kazakhstane-pochemu-adaptivnyj-dizajn-ehto-neobkhodimost;Старый URL (GSC/sitemap);/sozdanie-saitov;REDIRECT;Слабые дубли коммерческого интента объединяются с основной услугой.;301 на /sozdanie-saitov;Да;Средний: проверить перенос контента и релевантность;P3
/sozdanie-sajtov-v-kazakhstane-s-garantiej-prodvizheniya-raskrutov;Старый URL (GSC/sitemap);/sozdanie-saitov;REDIRECT;Слабые дубли коммерческого интента объединяются с основной услугой.;301 на /sozdanie-saitov;Да;Средний: проверить перенос контента и релевантность;P3
