Кластер;Название кластера;Основной запрос;Дополнительные запросы;Интент;Доступная частотность (макс. запрос, Planner);Сумма частотностей Planner (справочно);GSC клики;GSC показы;Количество уникальных запросов;Существующая страница;Итоговая страница;Решение;Риск каннибализации;Комментарий;Уверенность
design_naming;Нейминг;нейминг;нет данных;Коммерческий;;0;0;0;0;/web-studiya/dizayn/neyming;/web-studiya/dizayn/neyming;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
design_brandbook;Создание брендбука;создание брендбука;"брендбук цена; фирменный стиль; дизайн брендбука; заказать брендбук; брендбук компании; брендбук под ключ; разработка брендбука; фирменный стиль цена; дизайн фирменного стиля; фирменный стиль под ключ";Коммерческий;;0;0;0;15;/web-studiya/dizayn/brendbuk;/web-studiya/dizayn/brendbuk;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
design_logo;Создание логотипа;создание логотипа;"сделать логотип; дизайн логотипа; заказать логотип; логотип под ключ; редизайн логотипа; логотип для бренда; разработка логотипа; логотип для бизнеса; логотип для компании; создание логотипа цена";Коммерческий;;0;0;0;16;/web-studiya/dizayn/logotip;/web-studiya/dizayn/logotip;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
seo;SEO-продвижение;seo продвижение сайтов;"seo продвижение; seo оптимизация; продвижение сайтов; seo продвижение сайта; seo ru; сайт сео; сайт seo; гугл сео; seo сайта; seo сайты";Коммерческий;500;37950;1;25982;1139;"/seo-prodvizhenie-sajtov; /web-studiya/seo-prodvizhenie";/seo-prodvizhenie-sajtov;UPDATE;Высокий;"Есть legacy-дубли или пересечение со страницами старой карты; применять канонизацию и 301.";Высокая
seo_google;Продвижение в Google;продвижение в google;"продвижение гугл; гугл оптимизация; гугл продвижение; продвижение в гугл; google продвижение; google оптимизация; продвижение google; seo продвижение гугл; сео продвижение гугл; гугл продвижение сайта";Коммерческий;50;1250;0;0;30;/web-studiya/seo-prodvizhenie/google;/web-studiya/seo-prodvizhenie/google;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
seo_yandex;Продвижение в Яндекс;продвижение в яндекс;"яндекс seo; яндекс сео; яндекс продвижение; продвижение яндекс; seo продвижение яндекс; яндекс seo оптимизация; яндекс сео продвижение; сео продвижение яндекс; сайт продвижение яндекс; яндекс продвижение сайта";Коммерческий;50;1150;0;0;27;/web-studiya/seo-prodvizhenie/yandex;/web-studiya/seo-prodvizhenie/yandex;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
aeo;AEO-продвижение;aeo продвижение;"aeo; aeo аудит; faq для aeo; aeo агентство; aeo стратегия; что такое aeo; aeo оптимизация; aeo аудит сайта; geo продвижение; seo aeo geo отличия";Коммерческий;;0;0;0;26;"/web-studiya/aeo-prodvizhenie; /web-studiya/aeo-geo-prodvizhenie";/web-studiya/aeo-geo-prodvizhenie;KEEP;Низкий;Сохраняем уже опубликованный URL /web-studiya/aeo-geo-prodvizhenie.;Высокая
ppc;Контекстная реклама;контекстная реклама;"сайт реклама; реклама сайта; создать рекламный сайт; создание сайтов реклама; seo контекстная реклама; контекстное продвижение; контекстная реклама seo; раскрутка реклама сайта; раскрутка сайта реклама; реклама сайта раскрутка";Коммерческий;50;2400;0;1072;116;/web-studiya/kontekstnaya-reklama;/web-studiya/kontekstnaya-reklama;KEEP;Низкий;"Существующий URL сохраняется; отдельный интент подтверждён архитектурой и/или данными.";Высокая
ppc_google;Контекстная реклама в Google;контекстная реклама google;"реклама сайта гугл; реклама сайта в гугл; реклама сайта в google; контекстная реклама в google; гугл контекстная реклама для сайта; заказать контекстную рекламу google; контекстная реклама в интернете google; заказать настройку контекстной рекламы google; контекстная реклама google заказать; реклама в гугл казахстан";Коммерческий;50;400;0;763;70;"/contextnaya-reklama-google; /web-studiya/kontekstnaya-reklama/google-ads";/contextnaya-reklama-google;UPDATE;Низкий;"Сохраняем старый URL с данными GSC; новый адрес из карты не создаём как дубль.";Высокая
ppc_yandex;Контекстная реклама в Яндекс;контекстная реклама яндекс;"seo яндекс директ; реклама сайта яндекс; реклама сайта в яндекс; реклама сайта на яндекс; продвижение яндекс директ; яндекс контекстная реклама; продвижение в яндекс директ; раскрутка сайта яндекс директ; яндекс директ продвижение сайта; продвижение сайта яндекс директ";Коммерческий;50;600;0;696;75;"/contextnaya-reklama-yandex; /web-studiya/kontekstnaya-reklama/yandex-direct";/contextnaya-reklama-yandex;UPDATE;Низкий;"Сохраняем старый URL с кликами и показами GSC; вложенный адрес не нужен.";Высокая
leadgen;Лидогенерация;лидогенерация;"генерация лидов; лидогенерация b2b; b2b лидогенерация; лидогенерация цена; услуги лидогенерации; заказать лидогенерацию; лидогенерация под ключ; агентство лидогенерации; настройка лидогенерации; стоимость лидогенерации";Коммерческий;;0;0;0;17;/web-studiya/lidogeneratsiya;/web-studiya/lidogeneratsiya;KEEP;Низкий;"Существующий URL сохраняется; отдельный интент подтверждён архитектурой и/или данными.";Высокая
site_support;Поддержка сайтов;поддержка сайтов;"настройка сайта; ведение сайта; развитие сайта; обслуживание сайта; сопровождение сайтов; поддержка сайтов цена; услуги поддержки сайта; администрирование сайтов; обслуживание сайтов цена; создание и ведение сайта";Коммерческий;500;2150;0;4;56;/web-studiya/podderzhka-saytov;/web-studiya/podderzhka-saytov;KEEP;Высокий;"Есть legacy-дубли или пересечение со страницами старой карты; применять канонизацию и 301.";Высокая
digital_consulting;Digital-консалтинг;digital-консалтинг;"диджитал консалтинг; digital консалтинг; digital консалтинг для бизнеса";Коммерческий;50;50;0;0;3;/web-studiya/digital-konsalting;/web-studiya/digital-konsalting;KEEP;Низкий;"Существующий URL сохраняется; отдельный интент подтверждён архитектурой и/или данными.";Высокая
audit_site;Аудит сайта;аудит сайта;"аудит веб сайта; geo аудит; ux аудит сайта; ui аудит сайта; ai аудит сайта; ии аудит сайта; аудит лендинга; geo аудит сайта; аудит форм заявок; полный аудит сайта";Коммерческий;50;50;0;0;40;/web-studiya/digital-konsalting/audit-sayta;/web-studiya/digital-konsalting/audit-sayta;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
audit_promotion;Аудит продвижения;аудит продвижения;"seo аудит сайта в казахстане; seo аудит в алматы; ai seo аудит; seo аудит цена; seo аудит сайта; сео аудит сайта; seo аудит астана; seo аудит алматы; seo аудит заказать; заказать seo аудит";Коммерческий;;0;0;22;26;/web-studiya/digital-konsalting/audit-prodvizheniya;/web-studiya/digital-konsalting/audit-prodvizheniya;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
digital_strategy;Digital-стратегия;digital-стратегия;"digital стратегия; диджитал стратегия; разработка digital стратегии";Коммерческий;;0;0;0;3;/web-studiya/digital-konsalting/digital-strategiya;/web-studiya/digital-konsalting/digital-strategiya;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
business_consultation;Консультация для бизнеса;консультация для бизнеса;"консультация по продвижению сайтов; консультации продвижение сайтов; продвижение сайта консультация; консультация по продвижению сайта; консультация digital маркетолога; консультация по продвижению бизнеса";Коммерческий;;0;0;41;6;/web-studiya/digital-konsalting/konsultatsiya-dlya-biznesa;/web-studiya/digital-konsalting/konsultatsiya-dlya-biznesa;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
crm;CRM и автоматизация;crm и автоматизация;"система crm на предприятии; аудит crm; crm под ключ; миграция crm; аудит amocrm; лендинг с crm; crm для услуг; перенос в crm; что такое crm; crm интегратор";Коммерческий;0;0;0;0;37;/crm;/crm;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
crm_implementation;Внедрение CRM;внедрение crm;"внедрение срм; внедрение срм системы; внедрение crm системы; crm система внедрение; внедрение crm на предприятии; настройка crm; внедрение amocrm; настройка amocrm; внедрение crm цена; настройка crm системы";Коммерческий;50;250;0;0;18;/crm/vnedrenie-crm;/crm/vnedrenie-crm;NEW;Высокий;"Есть legacy-дубли или пересечение со страницами старой карты; применять канонизацию и 301.";Высокая
crm_automation;Автоматизация продаж;автоматизация продаж;"воронка продаж; автоматизация crm; онлайн воронка продаж; digital воронка продаж; создание воронки продаж; воронка продаж под ключ; настройка воронки продаж; воронка продаж для сайта; что такое воронка продаж; разработка воронки продаж";Коммерческий;;0;0;0;14;/crm/avtomatizatsiya-prodazh;/crm/avtomatizatsiya-prodazh;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
crm_integration;Интеграция с CRM;интеграция с crm;"интеграция crm; интеграция amocrm; crm интеграция цена; интеграция crm с 1с; интеграция amocrm с 1с; интеграция crm с сайтом; подключение crm к сайту; интеграция crm с почтой; интеграция crm с whatsapp; интеграция crm с telegram";Коммерческий;;0;0;0;25;/crm/integratsiya-s-crm;/crm/integratsiya-s-crm;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
academy;Академия Raskrutov;академия raskrutov;"вебинары маркетинг; контекстная реклама яндекс.директ обучение; курс geo; курсы no code; обучение amocrm; обучение no code; лендинг для курса; курсы веб дизайна; курс веб дизайнера; обучение ai поиску";Коммерческий / образовательный;;0;0;8;38;/akademiya;/akademiya;KEEP;Низкий;"Существующий URL сохраняется; отдельный интент подтверждён архитектурой и/или данными.";Высокая
academy_sites;Обучение созданию сайтов;обучение созданию сайтов;"курсы по созданию сайтов; онлайн курс создания сайтов; обучение продвижению сайтов; создание сайтов с нуля обучение; курс создания сайтов для начинающих; обучение созданию ai friendly сайтов; обучение сотрудников созданию сайтов; обучение работе в конструкторе сайтов; курс по оптимизации сайта под нейросети; создание сайтов на конструкторе обучение";Коммерческий / образовательный;;0;0;0;12;/akademiya/obuchenie-sozdaniyu-saytov;/akademiya/obuchenie-sozdaniyu-saytov;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
academy_seo;Обучение SEO и AEO;обучение seo и aeo;"seo курсы алматы; курс aeo; курсы seo; обучение seo; обучение aeo; курс seo аудита; обучение ai seo; seo курсы онлайн; курсы seo астана; курсы seo алматы";Коммерческий / образовательный;;0;0;12;20;/akademiya/obuchenie-seo-aeo;/akademiya/obuchenie-seo-aeo;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
academy_rbuilder;Обучение R-Builder;обучение r-builder;нет данных;Коммерческий / образовательный;;0;0;0;0;/akademiya/obuchenie-r-builder;/akademiya/obuchenie-r-builder;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
academy_corporate;Корпоративное обучение;корпоративное обучение;"корпоративные курсы digital; корпоративное обучение сотрудников; корпоративное обучение интернет маркетингу";Коммерческий / образовательный;;0;0;0;3;/akademiya/korporativnoe-obuchenie;/akademiya/korporativnoe-obuchenie;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
rbuilder;R-Builder;r-builder;нет данных;Продуктовый / коммерческий;;0;0;0;0;/r-builder;/r-builder;KEEP;Низкий;"Существующий URL сохраняется; отдельный интент подтверждён архитектурой и/или данными.";Высокая
rbuilder_about;Что такое R-Builder;что такое r-builder;нет данных;Продуктовый / коммерческий;;0;0;0;0;/r-builder/chto-takoe-r-builder;/r-builder/chto-takoe-r-builder;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
rbuilder_ai;AI R-Builder;ai r-builder;нет данных;Продуктовый / коммерческий;;0;0;0;0;/r-builder/ai-r-builder;/r-builder/ai-r-builder;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
rbuilder_features;Возможности платформы;возможности платформы;нет данных;Продуктовый / коммерческий;;0;0;0;0;/r-builder/vozmozhnosti;/r-builder/vozmozhnosti;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
rbuilder_business;R-Builder для бизнеса;r-builder для бизнеса;нет данных;Продуктовый / коммерческий;;0;0;0;0;/r-builder/dlya-biznesa;/r-builder/dlya-biznesa;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
partners;Партнёрам Raskrutov;партнерам raskrutov;"партнер amocrm; партнерство с веб студией; стать партнером веб студии; white label веб разработка; white label создание сайтов; white label digital агентство; white label конструктор сайтов; партнерство по созданию сайтов; партнерство с digital агентством; партнерская программа веб студии";Коммерческий;;0;0;0;13;/partneram;/partneram;KEEP;Низкий;"Существующий URL сохраняется; отдельный интент подтверждён архитектурой и/или данными.";Высокая
partners_franchise;Партнёрская программа — франшиза;партнерская программа - франшиза;"лиды для франшизы; франшиза веб студии; франшиза seo агентства; seo продвижение франшизы; франшиза digital агентства; создание сайта для франшизы; франшиза интернет маркетинга";Коммерческий;;0;0;0;7;/partneram/franshiza;/partneram/franshiza;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
partners_packages;Пакеты партнёрства;пакеты партнерства;нет данных;Коммерческий;;0;0;0;0;/partneram/pakety-partnerstva;/partneram/pakety-partnerstva;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
partners_agencies;Для рекламных агентств;для рекламных агентств;нет данных;Коммерческий;;0;0;0;0;/partneram/dlya-reklamnyh-agentstv;/partneram/dlya-reklamnyh-agentstv;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
partners_current;Действующие партнёры;действующие партнеры;нет данных;Информационный / навигационный;;0;0;0;0;/partneram/deystvuyushchie-partnery;/partneram/deystvuyushchie-partnery;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
cases;Кейсы Raskrutov;кейсы raskrutov;нет данных;Навигационный / коммерческий;;0;0;0;0;/keysy;/keysy;KEEP;Низкий;"Существующий URL сохраняется; отдельный интент подтверждён архитектурой и/или данными.";Высокая
cases_sites;Кейсы: сайты;кейсы сайты;нет данных;Навигационный / коммерческий;;0;0;0;0;/keysy/sayty;/keysy/sayty;KEEP;Низкий;"Существующий URL сохраняется; отдельный интент подтверждён архитектурой и/или данными.";Высокая
cases_seo;Кейсы: продвижение;кейсы продвижение;нет данных;Навигационный / коммерческий;;0;0;0;0;/keysy/prodvizhenie;/keysy/prodvizhenie;KEEP;Низкий;"Существующий URL сохраняется; отдельный интент подтверждён архитектурой и/или данными.";Высокая
cases_crm;Кейсы: CRM;кейсы crm;нет данных;Навигационный / коммерческий;;0;0;0;0;/keysy/crm;/keysy/crm;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
cases_academy;Кейсы: Академия;кейсы академия;нет данных;Навигационный / коммерческий;;0;0;0;0;/keysy/akademiya;/keysy/akademiya;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
cases_partners;Кейсы: партнёры;кейсы партнеры;нет данных;Навигационный / коммерческий;;0;0;0;0;/keysy/partnery;/keysy/partnery;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
faq;Вопросы и ответы;вопросы и ответы;нет данных;Информационный / навигационный;;0;0;0;0;/faq;/faq;KEEP;Высокий;"Есть legacy-дубли или пересечение со страницами старой карты; применять канонизацию и 301.";Высокая
about;О компании Raskrutov;Raskrutov компания;нет данных;Коммерческий;;0;0;0;0;/o-kompanii;/o-kompanii;KEEP;Низкий;"Существующий URL сохраняется; отдельный интент подтверждён архитектурой и/или данными.";Высокая
about_us;О нас;веб студия Raskrutov;нет данных;Коммерческий;;0;0;0;0;"/about-us; /o-kompanii/o-nas";/about-us;UPDATE;Низкий;"Сохраняем /about-us с кликами и показами GSC; новый дубль /o-kompanii/o-nas перенаправляем.";Высокая
about_team;Команда;команда;нет данных;Информационный / навигационный;;0;0;0;0;/o-kompanii/komanda;/o-kompanii/komanda;KEEP;Низкий;"Существующий URL сохраняется; отдельный интент подтверждён архитектурой и/или данными.";Высокая
about_letters;Благодарственные письма;благодарственные письма;нет данных;Информационный / навигационный;;0;0;0;0;/o-kompanii/blagodarstvennye-pisma;/o-kompanii/blagodarstvennye-pisma;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
about_clients;Наши клиенты;клиенты Raskrutov;нет данных;Коммерческий;;0;0;0;0;"/nashi-klienti; /o-kompanii/klienty";/nashi-klienti;UPDATE;Низкий;Сохраняем /nashi-klienti: URL имеет клики, показы и позиции GSC.;Высокая
blog;Блог;блог о создании и продвижении сайтов;нет данных;Коммерческий;;0;0;0;0;/o-kompanii/blog;/blog;NEW;Низкий;Выносим блог из раздела «О компании» в самостоятельный информационный хаб /blog.;Высокая
about_jobs;Вакансии;вакансии;нет данных;Информационный / навигационный;;0;0;0;0;/o-kompanii/vakansii;/o-kompanii/vakansii;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
contacts;Контакты Raskrutov;контакты Raskrutov;нет данных;Коммерческий;;0;0;0;0;"/kontakti; /kontakty";/kontakti;UPDATE;Низкий;"Сохраняем /kontakti с кликами и сильными позициями; /kontakty перенаправляем.";Высокая
site_1c_integration;Интеграция сайта с 1С;создание сайта с интеграцией 1с;нет данных;Коммерческий;;0;0;0;0;/sozdanie-saitov-s-1c-integraciya;/sozdanie-saitov-s-1c-integraciya;UPDATE;Низкий;"Старый URL имеет показы и позицию GSC; интент отличается от общей страницы интеграций.";Средняя
about_reviews;Отзывы;Raskrutov отзывы;нет данных;Навигационный / репутационный;;0;0;0;0;/otzivi;/otzivi;UPDATE;Низкий;"URL имеет клики и показы GSC; страница усиливает доверие и коммерческие разделы.";Высокая
about_founder;Основатель Raskrutov;основатель Raskrutov;нет данных;Навигационный / репутационный;;0;0;0;0;/about-founder;/about-founder;UPDATE;Низкий;"URL имеет клики и среднюю позицию около топ-5 в GSC; перенос адреса не оправдан.";Высокая
site_geo_petropavlovsk;Создание сайтов в Петропавловске;создание сайтов петропавловск;разработка сайтов петропавловск;Коммерческий геозависимый;;0;2;101;2;/sozdanie-saitov-v-Petropavlovske;/sozdanie-saitov-v-Petropavlovske;UPDATE;Средний;"Существующий геокластер сохранён и включён в матрицу 18 городов; требуется уникальный локальный контент и связь с городским хабом.";Высокая
site_geo_astana;Создание сайтов в Астане;создание сайтов астана;"заказать сайт астана; создание сайтов в астане с нуля; создание сайтов астане; разработка сайтов астана; разработка сайтов в астане с нуля; разработка сайта в астане; создание сайтов в астане; разработка сайта астана; разработка сайтов в астане; создание сайтов в астане под ключ";Коммерческий геозависимый;;0;0;1320;19;/sozdanie-saitov-v-astane;/sozdanie-saitov-v-astane;UPDATE;Средний;"Существующий геокластер сохранён и включён в матрицу 18 городов; требуется уникальный локальный контент и связь с городским хабом.";Высокая
site_geo_almaty;Создание сайтов в Алматы;создание сайтов алматы;"разработка сайтов алматы; создание сайта под ключ алматы; разработка сайтов под ключ алматы; сайт под ключ алматы; создание сайтов в алматы; заказать сайт для бизнеса алматы; разработка сайтов в алматы; сайт для бизнеса алматы; заказать сайт алматы; создать сайт в алматы";Коммерческий геозависимый;;0;1;2130;23;/sozdanie-saitov-v-almaty;/sozdanie-saitov-v-almaty;UPDATE;Средний;"Существующий геокластер сохранён и включён в матрицу 18 городов; требуется уникальный локальный контент и связь с городским хабом.";Высокая
site_geo_shymkent;Создание сайтов в Шымкенте;создание сайтов шымкент;"создать сайт в шымкенте; разработка сайтов шымкент; разработка сайтов в шымкенте";Коммерческий геозависимый;;0;0;102;4;/sozdanie-saitov-v-shimkente;/sozdanie-saitov-v-shimkente;UPDATE;Средний;"Существующий геокластер сохранён и включён в матрицу 18 городов; требуется уникальный локальный контент и связь с городским хабом.";Высокая
site_geo_karaganda;Создание сайтов в Караганде;создание сайтов караганда;"разработка сайтов в караганде; разработка сайтов караганда";Коммерческий геозависимый;;0;0;14;3;/sozdanie-saitov-v-karagande;/sozdanie-saitov-v-karagande;UPDATE;Средний;"Существующий геокластер сохранён и включён в матрицу 18 городов; требуется уникальный локальный контент и связь с городским хабом.";Высокая
seo_geo_petropavlovsk;SEO-продвижение сайтов в Петропавловске;seo продвижение петропавловск;"seo петропавловск; продвижение сайтов петропавловск";Коммерческий геозависимый;;0;0;334;3;/seo-prodvizhenie-sajtov-v-petropavlovske;/seo-prodvizhenie-sajtov-v-petropavlovske;UPDATE;Средний;"Существующий геокластер сохранён и включён в матрицу 18 городов; требуется уникальный локальный контент и связь с городским хабом.";Высокая
seo_geo_astana;SEO-продвижение сайтов в Астане;seo продвижение астана;"продвижение сайтов в астане; раскрутка сайтов в астане; seo астана; seo продвижение сайтов в астане; раскрутка сайта астана; seo продвижение в астане; сео продвижение в астане; seo оптимизация в астане; заказать seo продвижегие нурсултан; сео в астане";Коммерческий геозависимый;;0;0;1967;23;/seo-prodvizhenie-sajtov-v-astane;/seo-prodvizhenie-sajtov-v-astane;UPDATE;Средний;"Существующий геокластер сохранён и включён в матрицу 18 городов; требуется уникальный локальный контент и связь с городским хабом.";Высокая
seo_geo_almaty;SEO-продвижение сайтов в Алматы;seo продвижение алматы;"seo алматы; seo продвижение сайтов в алматы; продвижение сайтов в алматы; seo оптимизация алматы; seo продвижение сайта алматы; сео продвижение алматы; продвижение сайта в алматы; раскрутка сайтов алматы; сео оптимизация алматы; seo продвижение сайта в алматы";Коммерческий геозависимый;;0;0;5100;41;/seo-prodvizhenie-sajtov-v-almaty;/seo-prodvizhenie-sajtov-v-almaty;UPDATE;Средний;"Существующий геокластер сохранён и включён в матрицу 18 городов; требуется уникальный локальный контент и связь с городским хабом.";Высокая
