Город;Приоритет города;Направление;Базовая страница;Региональный URL;Кластер;Основной запрос;Источник решения;Статус страницы;Решение;Приоритет P1–P4;Этап;Требование к контенту;Внутренняя перелинковка;Примечание
Астана;T1;Услуги дизайнера;/web-studiya/dizayn;/web-studiya/dizayn/astana;design_geo_astana;услуги дизайнера астана;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P2;Региональные страницы — этап 2;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/astana; базовая услуга: /web-studiya/dizayn";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Астана;T1;SEO-продвижение;/seo-prodvizhenie-sajtov;/seo-prodvizhenie-sajtov-v-astane;seo_geo_astana;seo продвижение астана;Существующий URL / GSC / прежняя карта;Существующая — сохранить и переработать;UPDATE;P1;Региональные страницы — этап 1;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/astana; базовая услуга: /seo-prodvizhenie-sajtov";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Астана;T1;AEO/GEO-продвижение;/web-studiya/aeo-geo-prodvizhenie;/web-studiya/aeo-geo-prodvizhenie/astana;aeo_geo_astana;продвижение в ии поиске астана;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P2;Региональные страницы — этап 2;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/astana; базовая услуга: /web-studiya/aeo-geo-prodvizhenie";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Астана;T1;Контекстная реклама;/web-studiya/kontekstnaya-reklama;/web-studiya/kontekstnaya-reklama/astana;ppc_geo_astana;контекстная реклама астана;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P2;Региональные страницы — этап 2;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/astana; базовая услуга: /web-studiya/kontekstnaya-reklama";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Астана;T1;Лидогенерация;/web-studiya/lidogeneratsiya;/web-studiya/lidogeneratsiya/astana;leadgen_geo_astana;лидогенерация астана;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P2;Региональные страницы — этап 2;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/astana; базовая услуга: /web-studiya/lidogeneratsiya";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Астана;T1;Поддержка сайтов;/web-studiya/podderzhka-saytov;/web-studiya/podderzhka-saytov/astana;site_support_geo_astana;поддержка сайтов астана;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P2;Региональные страницы — этап 2;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/astana; базовая услуга: /web-studiya/podderzhka-saytov";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Астана;T1;Digital-консалтинг;/web-studiya/digital-konsalting;/web-studiya/digital-konsalting/astana;digital_consulting_geo_astana;digital консалтинг астана;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P2;Региональные страницы — этап 2;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/astana; базовая услуга: /web-studiya/digital-konsalting";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Шымкент;T1;Веб-студия;/web-studiya;/web-studiya/shymkent;webstudio_geo_shymkent;веб студия шымкент;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P1;Региональные страницы — этап 1;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/shymkent; базовая услуга: /web-studiya";Региональный хаб связывает восемь основных услуг города.
Шымкент;T1;Создание сайтов;/sozdanie-saitov;/sozdanie-saitov-v-shimkente;site_geo_shymkent;создание сайтов шымкент;Существующий URL / GSC / прежняя карта;Существующая — сохранить и переработать;UPDATE;P1;Региональные страницы — этап 1;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/shymkent; базовая услуга: /sozdanie-saitov";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Шымкент;T1;Услуги дизайнера;/web-studiya/dizayn;/web-studiya/dizayn/shymkent;design_geo_shymkent;услуги дизайнера шымкент;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P2;Региональные страницы — этап 2;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/shymkent; базовая услуга: /web-studiya/dizayn";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Шымкент;T1;SEO-продвижение;/seo-prodvizhenie-sajtov;/seo-prodvizhenie-sajtov-v-shimkente;seo_geo_shymkent;seo продвижение шымкент;Существующий URL / GSC / прежняя карта;Существующая — сохранить и переработать;UPDATE;P1;Региональные страницы — этап 1;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/shymkent; базовая услуга: /seo-prodvizhenie-sajtov";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Шымкент;T1;AEO/GEO-продвижение;/web-studiya/aeo-geo-prodvizhenie;/web-studiya/aeo-geo-prodvizhenie/shymkent;aeo_geo_shymkent;продвижение в ии поиске шымкент;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P2;Региональные страницы — этап 2;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/shymkent; базовая услуга: /web-studiya/aeo-geo-prodvizhenie";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Шымкент;T1;Контекстная реклама;/web-studiya/kontekstnaya-reklama;/web-studiya/kontekstnaya-reklama/shymkent;ppc_geo_shymkent;контекстная реклама шымкент;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P2;Региональные страницы — этап 2;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/shymkent; базовая услуга: /web-studiya/kontekstnaya-reklama";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Шымкент;T1;Лидогенерация;/web-studiya/lidogeneratsiya;/web-studiya/lidogeneratsiya/shymkent;leadgen_geo_shymkent;лидогенерация шымкент;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P2;Региональные страницы — этап 2;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/shymkent; базовая услуга: /web-studiya/lidogeneratsiya";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Шымкент;T1;Поддержка сайтов;/web-studiya/podderzhka-saytov;/web-studiya/podderzhka-saytov/shymkent;site_support_geo_shymkent;поддержка сайтов шымкент;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P2;Региональные страницы — этап 2;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/shymkent; базовая услуга: /web-studiya/podderzhka-saytov";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Шымкент;T1;Digital-консалтинг;/web-studiya/digital-konsalting;/web-studiya/digital-konsalting/shymkent;digital_consulting_geo_shymkent;digital консалтинг шымкент;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P2;Региональные страницы — этап 2;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/shymkent; базовая услуга: /web-studiya/digital-konsalting";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Актау;T2;Веб-студия;/web-studiya;/web-studiya/aktau;webstudio_geo_aktau;веб студия актау;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P2;Региональные страницы — этап 2;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/aktau; базовая услуга: /web-studiya";Региональный хаб связывает восемь основных услуг города.
Актау;T2;Создание сайтов;/sozdanie-saitov;/sozdanie-saitov-v-aktau;site_geo_aktau;создание сайтов актау;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P2;Региональные страницы — этап 2;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/aktau; базовая услуга: /sozdanie-saitov";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Актау;T2;Услуги дизайнера;/web-studiya/dizayn;/web-studiya/dizayn/aktau;design_geo_aktau;услуги дизайнера актау;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P3;Региональные страницы — этап 3;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/aktau; базовая услуга: /web-studiya/dizayn";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Актау;T2;SEO-продвижение;/seo-prodvizhenie-sajtov;/seo-prodvizhenie-sajtov-v-aktau;seo_geo_aktau;seo продвижение актау;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P2;Региональные страницы — этап 2;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/aktau; базовая услуга: /seo-prodvizhenie-sajtov";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Актау;T2;AEO/GEO-продвижение;/web-studiya/aeo-geo-prodvizhenie;/web-studiya/aeo-geo-prodvizhenie/aktau;aeo_geo_aktau;продвижение в ии поиске актау;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P3;Региональные страницы — этап 3;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/aktau; базовая услуга: /web-studiya/aeo-geo-prodvizhenie";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Актау;T2;Контекстная реклама;/web-studiya/kontekstnaya-reklama;/web-studiya/kontekstnaya-reklama/aktau;ppc_geo_aktau;контекстная реклама актау;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P3;Региональные страницы — этап 3;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/aktau; базовая услуга: /web-studiya/kontekstnaya-reklama";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Актау;T2;Лидогенерация;/web-studiya/lidogeneratsiya;/web-studiya/lidogeneratsiya/aktau;leadgen_geo_aktau;лидогенерация актау;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P3;Региональные страницы — этап 3;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/aktau; базовая услуга: /web-studiya/lidogeneratsiya";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Актау;T2;Поддержка сайтов;/web-studiya/podderzhka-saytov;/web-studiya/podderzhka-saytov/aktau;site_support_geo_aktau;поддержка сайтов актау;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P3;Региональные страницы — этап 3;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/aktau; базовая услуга: /web-studiya/podderzhka-saytov";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Актау;T2;Digital-консалтинг;/web-studiya/digital-konsalting;/web-studiya/digital-konsalting/aktau;digital_consulting_geo_aktau;digital консалтинг актау;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P3;Региональные страницы — этап 3;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/aktau; базовая услуга: /web-studiya/digital-konsalting";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Актобе;T2;Веб-студия;/web-studiya;/web-studiya/aktobe;webstudio_geo_aktobe;веб студия актобе;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P2;Региональные страницы — этап 2;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/aktobe; базовая услуга: /web-studiya";Региональный хаб связывает восемь основных услуг города.
Актобе;T2;Создание сайтов;/sozdanie-saitov;/sozdanie-saitov-v-aktobe;site_geo_aktobe;создание сайтов актобе;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P2;Региональные страницы — этап 2;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/aktobe; базовая услуга: /sozdanie-saitov";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Актобе;T2;Услуги дизайнера;/web-studiya/dizayn;/web-studiya/dizayn/aktobe;design_geo_aktobe;услуги дизайнера актобе;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P3;Региональные страницы — этап 3;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/aktobe; базовая услуга: /web-studiya/dizayn";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Актобе;T2;SEO-продвижение;/seo-prodvizhenie-sajtov;/seo-prodvizhenie-sajtov-v-aktobe;seo_geo_aktobe;seo продвижение актобе;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P2;Региональные страницы — этап 2;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/aktobe; базовая услуга: /seo-prodvizhenie-sajtov";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Актобе;T2;AEO/GEO-продвижение;/web-studiya/aeo-geo-prodvizhenie;/web-studiya/aeo-geo-prodvizhenie/aktobe;aeo_geo_aktobe;продвижение в ии поиске актобе;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P3;Региональные страницы — этап 3;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/aktobe; базовая услуга: /web-studiya/aeo-geo-prodvizhenie";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Актобе;T2;Контекстная реклама;/web-studiya/kontekstnaya-reklama;/web-studiya/kontekstnaya-reklama/aktobe;ppc_geo_aktobe;контекстная реклама актобе;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P3;Региональные страницы — этап 3;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/aktobe; базовая услуга: /web-studiya/kontekstnaya-reklama";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Актобе;T2;Лидогенерация;/web-studiya/lidogeneratsiya;/web-studiya/lidogeneratsiya/aktobe;leadgen_geo_aktobe;лидогенерация актобе;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P3;Региональные страницы — этап 3;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/aktobe; базовая услуга: /web-studiya/lidogeneratsiya";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Актобе;T2;Поддержка сайтов;/web-studiya/podderzhka-saytov;/web-studiya/podderzhka-saytov/aktobe;site_support_geo_aktobe;поддержка сайтов актобе;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P3;Региональные страницы — этап 3;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/aktobe; базовая услуга: /web-studiya/podderzhka-saytov";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Актобе;T2;Digital-консалтинг;/web-studiya/digital-konsalting;/web-studiya/digital-konsalting/aktobe;digital_consulting_geo_aktobe;digital консалтинг актобе;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P3;Региональные страницы — этап 3;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/aktobe; базовая услуга: /web-studiya/digital-konsalting";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Атырау;T2;Веб-студия;/web-studiya;/web-studiya/atyrau;webstudio_geo_atyrau;веб студия атырау;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P2;Региональные страницы — этап 2;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/atyrau; базовая услуга: /web-studiya";Региональный хаб связывает восемь основных услуг города.
Атырау;T2;Создание сайтов;/sozdanie-saitov;/sozdanie-saitov-v-atyrau;site_geo_atyrau;создание сайтов атырау;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P2;Региональные страницы — этап 2;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/atyrau; базовая услуга: /sozdanie-saitov";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Атырау;T2;Услуги дизайнера;/web-studiya/dizayn;/web-studiya/dizayn/atyrau;design_geo_atyrau;услуги дизайнера атырау;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P3;Региональные страницы — этап 3;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/atyrau; базовая услуга: /web-studiya/dizayn";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Атырау;T2;SEO-продвижение;/seo-prodvizhenie-sajtov;/seo-prodvizhenie-sajtov-v-atyrau;seo_geo_atyrau;seo продвижение атырау;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P2;Региональные страницы — этап 2;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/atyrau; базовая услуга: /seo-prodvizhenie-sajtov";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Атырау;T2;AEO/GEO-продвижение;/web-studiya/aeo-geo-prodvizhenie;/web-studiya/aeo-geo-prodvizhenie/atyrau;aeo_geo_atyrau;продвижение в ии поиске атырау;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P3;Региональные страницы — этап 3;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/atyrau; базовая услуга: /web-studiya/aeo-geo-prodvizhenie";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Атырау;T2;Контекстная реклама;/web-studiya/kontekstnaya-reklama;/web-studiya/kontekstnaya-reklama/atyrau;ppc_geo_atyrau;контекстная реклама атырау;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P3;Региональные страницы — этап 3;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/atyrau; базовая услуга: /web-studiya/kontekstnaya-reklama";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Атырау;T2;Лидогенерация;/web-studiya/lidogeneratsiya;/web-studiya/lidogeneratsiya/atyrau;leadgen_geo_atyrau;лидогенерация атырау;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P3;Региональные страницы — этап 3;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/atyrau; базовая услуга: /web-studiya/lidogeneratsiya";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
