Старый URL;Новый URL;Действие;Тип редиректа;Причина;Страница-получатель;GSC клики;GSC показы;GSC позиция;Проверка на цепочку редиректов
/usloviya-sotrudnichestva;/partneram;Перенести релевантный контент и настроить серверный редирект;301;Консолидация дубля в выбранный канонический URL.;Партнёрам Raskrutov;0;110;12.89;OK: прямой редирект
/contextnaya-reklama-google-i-yandex;/web-studiya/kontekstnaya-reklama;Перенести релевантный контент и настроить серверный редирект;301;Консолидация дубля в выбранный канонический URL.;Контекстная реклама;0;105;81.1;OK: прямой редирект
/sozdanie-saitov-v-Penropavlovske;/sozdanie-saitov-v-Petropavlovske;Перенести релевантный контент и настроить серверный редирект;301;Консолидация дубля в выбранный канонический URL.;Создание сайтов в Петропавловске;2;82;18.7;OK: прямой редирект
/sozdanie-sajtov-v-kazakhstane-kak-vybrat-podryadchika-dlya-vashego-proekta;/sozdanie-saitov;Перенести релевантный контент и настроить серверный редирект;301;Слабые дубли коммерческого интента объединяются с основной услугой.;Создание сайтов;0;57;74.7;OK: прямой редирект
/sozdanie-sajtov-v-astane-pochemu-ehto-vazhno-dlya-vashego-biznesa;/sozdanie-saitov-v-astane;Перенести релевантный контент и настроить серверный редирект;301;Консолидация дублирующих материалов об одной геоуслуге.;Создание сайтов в Астане;0;46;87.7;OK: прямой редирект
/kejsy;/keysy;Перенести релевантный контент и настроить серверный редирект;301;Консолидация дубля в выбранный канонический URL.;Кейсы Raskrutov;0;38;3.82;OK: прямой редирект
/samyi-svezhiy-blog-o-sozdanii-i-prodvizhenii-saytov-v-petropavlovske-2025;/sozdanie-saitov-v-Petropavlovske;Перенести релевантный контент и настроить серверный редирект;301;Консолидация слабой страницы с локальной коммерческой страницей.;Создание сайтов в Петропавловске;1;35;22.8;OK: прямой редирект
/prodvizhenie-sajtov-v-astane-kak-optimizirovat-kontent-dlya-poiskovykh-sistem;/seo-prodvizhenie-sajtov-v-astane;Перенести релевантный контент и настроить серверный редирект;301;Материал об SEO в Астане объединяется с локальной SEO-страницей.;SEO-продвижение сайтов в Астане;0;34;79.41;OK: прямой редирект
/partnership;/partneram;Перенести релевантный контент и настроить серверный редирект;301;Консолидация дубля в выбранный канонический URL.;Партнёрам Raskrutov;0;27;4.7;OK: прямой редирект
/zakazat-sozdanie-sajtov-v-kazakhstane-veb-studiya-raskrutov;/sozdanie-saitov;Перенести релевантный контент и настроить серверный редирект;301;Слабые дубли коммерческого интента объединяются с основной услугой.;Создание сайтов;0;24;135.54;OK: прямой редирект
/sozdanie-sajtov-v-kazakhstane-pochemu-adaptivnyj-dizajn-ehto-neobkhodimost;/sozdanie-saitov;Перенести релевантный контент и настроить серверный редирект;301;Слабые дубли коммерческого интента объединяются с основной услугой.;Создание сайтов;0;22;27.59;OK: прямой редирект
/ehffektivnoe-seo-prodvizhenie-sajtov-v-petropavlovske-raskrutov;/seo-prodvizhenie-sajtov-v-petropavlovske;Перенести релевантный контент и настроить серверный редирект;301;Коммерческие дубли объединяются с локальной SEO-страницей.;SEO-продвижение сайтов в Петропавловске;0;20;12.75;OK: прямой редирект
/kontakty;/kontakti;Перенести релевантный контент и настроить серверный редирект;301;Консолидация дубля в выбранный канонический URL.;Контакты Raskrutov;0;19;4.26;OK: прямой редирект
/kak-seo-prodvizhenie-pomogaet-uvelichit-trafik-na-sajt;/seo-prodvizhenie-sajtov;Перенести релевантный контент и настроить серверный редирект;301;Общий коммерческий SEO-интент консолидируется на основной услуге.;SEO-продвижение;0;15;76.67;OK: прямой редирект
/prodvizhenie-korporativnykh-sajtov-v-kazakhstane-raskrutov;/web-studiya/sozdanie-saitov/korporativnyy-sayt;Перенести релевантный контент и настроить серверный редирект;301;Дубль услуги корпоративных сайтов.;Создание корпоративного сайта;0;15;34.53;OK: прямой редирект
/razrabotka-sajtov-v-kazakhstane-zakazat-sajt-v-raskrutov;/sozdanie-saitov;Перенести релевантный контент и настроить серверный редирект;301;Общий коммерческий интент создания сайтов.;Создание сайтов;0;13;130.15;OK: прямой редирект
/prodvizhenie-sajtov-v-gorodakh-kazakhstana-zakazat-v-raskrutov;/seo-prodvizhenie-sajtov;Перенести релевантный контент и настроить серверный редирект;301;Общий коммерческий SEO-интент консолидируется на основной услуге.;SEO-продвижение;0;10;92.3;OK: прямой редирект
/sozdanie-sajtov-dlya-malogo-biznesa-v-petropavlovske-raskrutov;/sozdanie-saitov-v-Petropavlovske;Перенести релевантный контент и настроить серверный редирект;301;Консолидация нескольких страниц под один локальный коммерческий интент.;Создание сайтов в Петропавловске;0;9;96.22;OK: прямой редирект
/zakazat-sajt-dlya-biznesa-v-petropavlovske-studiya-raskrutov;/sozdanie-saitov-v-Petropavlovske;Перенести релевантный контент и настроить серверный редирект;301;Локальный коммерческий интент создания сайтов объединяется с геостраницей Петропавловска.;Создание сайтов в Петропавловске;0;8;10.62;OK: прямой редирект
/-sozdanie-sajtov-v-petropavlovske-zakazat-sajt-v-raskrutov;/sozdanie-saitov-v-Petropavlovske;Перенести релевантный контент и настроить серверный редирект;301;Консолидация нескольких страниц под один локальный коммерческий интент.;Создание сайтов в Петропавловске;0;6;40.83;OK: прямой редирект
/prodvizhenie-sajtov-v-petropavlovske-kak-ispolzovat-socialnye-seti-dlya-uvelicheniya-trafika;/seo-prodvizhenie-sajtov-v-petropavlovske;Перенести релевантный контент и настроить серверный редирект;301;Коммерческие дубли объединяются с локальной SEO-страницей.;SEO-продвижение сайтов в Петропавловске;0;6;71.17;OK: прямой редирект
/sozdanie-sajtov-v-almaty-kak-vybrat-podkhodyashchuyu-cms-dlya-vashego-proekta;/sozdanie-sajtov-v-kazakhstane-kak-vybrat-podkhodyashchuyu-platformu;Перенести релевантный контент и настроить серверный редирект;301;Материал о CMS объединяется с evergreen-статьёй о выборе платформы.;Как выбрать платформу для сайта в Казахстане;1;5;47.8;OK: прямой редирект
/kupit-gotovyj-sajt-v-petropavlovske-veb-studiya-raskrutov;/sozdanie-saitov-v-Petropavlovske;Перенести релевантный контент и настроить серверный редирект;301;Локальный коммерческий интент создания сайтов объединяется с геостраницей Петропавловска.;Создание сайтов в Петропавловске;0;5;35;OK: прямой редирект
/sozdanie-sajtov-pod-klyuch-v-petropavlovske-studiya-raskrutov;/sozdanie-saitov-v-Petropavlovske;Перенести релевантный контент и настроить серверный редирект;301;Консолидация нескольких страниц под один локальный коммерческий интент.;Создание сайтов в Петропавловске;0;5;30.2;OK: прямой редирект
/prodvizhenie-sajtov-v-petropavlovske-i-sko-zakazat-v-raskrutov;/seo-prodvizhenie-sajtov-v-petropavlovske;Перенести релевантный контент и настроить серверный редирект;301;Коммерческие дубли объединяются с локальной SEO-страницей.;SEO-продвижение сайтов в Петропавловске;0;4;25;OK: прямой редирект
/sozdanie-sajtov-v-almaty-osobennosti-i-preimushchestva;/sozdanie-saitov-v-almaty;Перенести релевантный контент и настроить серверный редирект;301;Консолидация дублирующих материалов об одной геоуслуге.;Создание сайтов в Алматы;0;4;54.75;OK: прямой редирект
/veb-studiya-v-petropavlovske-zakazat-sajt-v-raskrutov;/sozdanie-saitov-v-Petropavlovske;Перенести релевантный контент и настроить серверный редирект;301;Локальный коммерческий интент создания сайтов объединяется с геостраницей Петропавловска.;Создание сайтов в Петропавловске;0;4;61;OK: прямой редирект
/obsluzhivanie-sajtov-v-kazakhstane-zakazat-v-studii-raskrutov;/web-studiya/podderzhka-saytov;Перенести релевантный контент и настроить серверный редирект;301;Обслуживание и поддержка — один коммерческий интент.;Поддержка сайтов;0;3;23;OK: прямой редирект
/razrabotka-korporativnykh-sajtov-v-kazakhstane-raskrutov;/web-studiya/sozdanie-saitov/korporativnyy-sayt;Перенести релевантный контент и настроить серверный редирект;301;Дубль услуги корпоративных сайтов.;Создание корпоративного сайта;0;3;67.33;OK: прямой редирект
/sozdanie-sajtov-v-kazakhstane-kak-obespechit-bezopasnost-i-zashchitu-dannykh;/sozdanie-saitov;Перенести релевантный контент и настроить серверный редирект;301;Слабые дубли коммерческого интента объединяются с основной услугой.;Создание сайтов;0;3;10;OK: прямой редирект
/zakazat-sajt-dlya-prodvizheniya-biznesa-v-kazakhstane-raskrutov;/sozdanie-saitov;Перенести релевантный контент и настроить серверный редирект;301;Общий коммерческий интент создания сайтов.;Создание сайтов;0;3;12.67;OK: прямой редирект
/zakazat-sozdanie-internet-magazina-v-petropavlovske-raskrutov;/web-studiya/sozdanie-saitov/internet-magazin;Перенести релевантный контент и настроить серверный редирект;301;Дубль услуги создания интернет-магазинов.;Создание интернет-магазинов;0;3;5;OK: прямой редирект
/Kak-Raskrutov-pomagaet-vashemu-biznesu-cherez-sozdanie-saitov;/sozdanie-saitov;Перенести релевантный контент и настроить серверный редирект;301;Общий коммерческий интент создания сайтов.;Создание сайтов;0;2;21;OK: прямой редирект
/prodvizhenie-sajta-v-google-i-yandeks-v-petropavlovske-raskrutov;/seo-prodvizhenie-sajtov-v-petropavlovske;Перенести релевантный контент и настроить серверный редирект;301;Коммерческие дубли объединяются с локальной SEO-страницей.;SEO-продвижение сайтов в Петропавловске;0;2;49.5;OK: прямой редирект
/razrabotka-i-prodvizhenie-sajtov-v-sko-zakazat-v-raskrutov;/seo-prodvizhenie-sajtov;Перенести релевантный контент и настроить серверный редирект;301;Общий коммерческий SEO-интент консолидируется на основной услуге.;SEO-продвижение;0;2;17;OK: прямой редирект
/razrabotka-lendingov-v-petropavlovske-zakazat-v-raskrutov;/web-studiya/sozdanie-saitov/landing;Перенести релевантный контент и настроить серверный редирект;301;Дубль услуги создания лендингов.;Создание лендингов;0;2;19;OK: прямой редирект
/sozdanie-sajtov-v-petropavlovske-kupit-sajt-v-raskrutov;/sozdanie-saitov-v-Petropavlovske;Перенести релевантный контент и настроить серверный редирект;301;Консолидация нескольких страниц под один локальный коммерческий интент.;Создание сайтов в Петропавловске;0;2;20.5;OK: прямой редирект
/SEO-optimizaciya-s-Raskrutov-Vash-sait-na-vershine-poiskovyh-sistem;/seo-prodvizhenie-sajtov;Перенести релевантный контент и настроить серверный редирект;301;Общий коммерческий SEO-интент консолидируется на основной услуге.;SEO-продвижение;0;1;31;OK: прямой редирект
/kupit-nedorogoj-sajt-v-petropavlovske-raskrutov;/sozdanie-saitov-v-Petropavlovske;Перенести релевантный контент и настроить серверный редирект;301;Локальный коммерческий интент создания сайтов объединяется с геостраницей Петропавловска.;Создание сайтов в Петропавловске;0;1;94;OK: прямой редирект
/prodvizhenie-sajtov-v-petropavlovske-kak-uluchshit-vidimost-v-poiskovykh-sistemakh;/seo-prodvizhenie-sajtov-v-petropavlovske;Перенести релевантный контент и настроить серверный редирект;301;Коммерческие дубли объединяются с локальной SEO-страницей.;SEO-продвижение сайтов в Петропавловске;0;1;20;OK: прямой редирект
/prodvizhenie-sajtov-v-petropavlovske-kak-vyvesti-sajt-v-top;/seo-prodvizhenie-sajtov-v-petropavlovske;Перенести релевантный контент и настроить серверный редирект;301;Коммерческие дубли объединяются с локальной SEO-страницей.;SEO-продвижение сайтов в Петропавловске;0;1;11;OK: прямой редирект
/professionalnoe-sozdanie-i-obsluzhivanie-sajtov-v-kazakhstane;/web-studiya/podderzhka-saytov;Перенести релевантный контент и настроить серверный редирект;301;Обслуживание и поддержка — один коммерческий интент.;Поддержка сайтов;0;1;73;OK: прямой редирект
/sozdanie-i-raskrutka-internet-magazinov-v-kazakhstane-raskrutov;/web-studiya/sozdanie-saitov/internet-magazin;Перенести релевантный контент и настроить серверный редирект;301;Дубль услуги создания интернет-магазинов.;Создание интернет-магазинов;0;1;9;OK: прямой редирект
/sozdanie-sajtov-dlya-uslug-v-petropavlovske-veb-studiya-raskrutov;/sozdanie-saitov-v-Petropavlovske;Перенести релевантный контент и настроить серверный редирект;301;Консолидация нескольких страниц под один локальный коммерческий интент.;Создание сайтов в Петропавловске;0;1;8;OK: прямой редирект
/sozdanie-sajtov-v-astane-tendencii-i-innovacii-2024-goda;/sozdanie-saitov-v-astane;Перенести релевантный контент и настроить серверный редирект;301;Консолидация дублирующих материалов об одной геоуслуге.;Создание сайтов в Астане;0;1;1;OK: прямой редирект
/sozdanie-sajtov-v-kazakhstane-s-garantiej-prodvizheniya-raskrutov;/sozdanie-saitov;Перенести релевантный контент и настроить серверный редирект;301;Слабые дубли коммерческого интента объединяются с основной услугой.;Создание сайтов;0;1;98;OK: прямой редирект
/sozdanie-sajtov-v-kazakhstane-sovremennye-tendencii-i-luchshie-praktiki;/sozdanie-saitov;Перенести релевантный контент и настроить серверный редирект;301;Слабые дубли коммерческого интента объединяются с основной услугой.;Создание сайтов;0;1;2;OK: прямой редирект
/sozdanie-sajtov-v-petropavlovske-zakazat-sajt-v-raskrutov;/sozdanie-saitov-v-Petropavlovske;Перенести релевантный контент и настроить серверный редирект;301;Консолидация нескольких страниц под один локальный коммерческий интент.;Создание сайтов в Петропавловске;0;1;78;OK: прямой редирект
/zakazat-sajt-vizitku-v-petropavlovske-studiya-raskrutov;/web-studiya/sozdanie-saitov/sayt-vizitka;Перенести релевантный контент и настроить серверный редирект;301;Дубль услуги сайта-визитки.;Создание сайта-визитки;0;1;7;OK: прямой редирект
/o-kompanii/o-nas;/about-us;Перенести релевантный контент и настроить серверный редирект;301;Консолидация дубля в выбранный канонический URL.;О нас;;;;OK: прямой редирект
/web-studiya/seo-prodvizhenie;/seo-prodvizhenie-sajtov;Перенести релевантный контент и настроить серверный редирект;301;Консолидация дубля в выбранный канонический URL.;SEO-продвижение;;;;OK: прямой редирект
