ID;Уровень;Родительский раздел;Название страницы;Назначение;Старый URL;Итоговый URL;H1;Title;Description;Основной интент;Основной запрос;Дополнительные запросы;Доступная частотность;Тип страницы;Индексируемость;Schema.org;Входящие внутренние ссылки;Исходящие внутренние ссылки;Необходимые материалы;Приоритет P1–P4;Этап разработки;Статус публикации;Решение;Обоснование;Уровень уверенности;Кластер;GSC клики URL;GSC показы URL;GSC позиция URL;Активная страница;Длина Title;Длина Description
95;3;Вебстудия Raskrutov;Веб-студия в Алматы;Геозависимая коммерческая страница направления «Веб-студия» для компаний в Алматы.;;/web-studiya/almaty;Веб-студия в Алматы;Веб-студия в Алматы: сайты, SEO и реклама | Raskrutov;Веб-студия Raskrutov в Алматы: создаём сайты, продвигаем в поиске и AI-выдаче, настраиваем рекламу и лидогенерацию для бизнеса.;Коммерческий геозависимый;веб студия алматы;"услуги веб студии алматы; digital агентство алматы; интернет агентство алматы";;Региональный хаб;index, follow после QA уникальности;CollectionPage, BreadcrumbList;"/web-studiya; /sozdanie-saitov-v-almaty; /web-studiya/dizayn/almaty; /seo-prodvizhenie-sajtov-v-almaty; /web-studiya/aeo-geo-prodvizhenie/almaty; /web-studiya/kontekstnaya-reklama/almaty; /web-studiya/lidogeneratsiya/almaty; /web-studiya/podderzhka-saytov/almaty; /web-studiya/digital-konsalting/almaty";"/web-studiya; /sozdanie-saitov-v-almaty; /web-studiya/dizayn/almaty; /seo-prodvizhenie-sajtov-v-almaty; /web-studiya/aeo-geo-prodvizhenie/almaty; /web-studiya/kontekstnaya-reklama/almaty; /web-studiya/lidogeneratsiya/almaty; /web-studiya/podderzhka-saytov/almaty; /web-studiya/digital-konsalting/almaty";Уникальный оффер для Алматы, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P1;Региональные страницы — этап 1;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;webstudio_geo_almaty;;;;Да;53;127
96;3;Услуги дизайнера;Услуги дизайнера в Алматы;Геозависимая коммерческая страница направления «Услуги дизайнера» для компаний в Алматы.;;/web-studiya/dizayn/almaty;Услуги дизайнера и веб-дизайн в Алматы;Услуги дизайнера в Алматы | Raskrutov;Дизайн для бизнеса в Алматы: сайты, логотипы, фирменный стиль, брендбук и визуальные материалы с понятным процессом и результатом.;Коммерческий геозависимый;услуги дизайнера алматы;"веб дизайн алматы; дизайн сайта алматы; брендинг алматы";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Алматы), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /web-studiya/dizayn; /web-studiya/almaty";"/web-studiya/dizayn; /web-studiya/almaty; /keysy/sayty; /sozdanie-saitov-v-almaty; /seo-prodvizhenie-sajtov-v-almaty";Уникальный оффер для Алматы, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P2;Региональные страницы — этап 2;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;design_geo_almaty;;;;Да;37;130
97;3;AEO-продвижение;AEO/GEO-продвижение в Алматы;Геозависимая коммерческая страница направления «AEO/GEO-продвижение» для компаний в Алматы.;;/web-studiya/aeo-geo-prodvizhenie/almaty;AEO и GEO-продвижение в AI-выдаче в Алматы;AEO/GEO-продвижение в Алматы | Raskrutov;Продвигаем компании из Алматы в AI-ответах и нейропоиске: структура, сущности, экспертный контент, FAQ, Schema.org и AEO/GEO-оптимизация.;Коммерческий геозависимый;продвижение в ии поиске алматы;"aeo продвижение алматы; geo продвижение алматы; оптимизация сайта под ии алматы";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Алматы), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /web-studiya/aeo-geo-prodvizhenie; /web-studiya/almaty";"/web-studiya/aeo-geo-prodvizhenie; /web-studiya/almaty; /keysy/prodvizhenie; /sozdanie-saitov-v-almaty; /seo-prodvizhenie-sajtov-v-almaty";Уникальный оффер для Алматы, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P2;Региональные страницы — этап 2;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;aeo_geo_almaty;;;;Да;40;137
98;3;Контекстная реклама;Контекстная реклама в Алматы;Геозависимая коммерческая страница направления «Контекстная реклама» для компаний в Алматы.;;/web-studiya/kontekstnaya-reklama/almaty;Контекстная реклама в Алматы;Контекстная реклама в Алматы | Raskrutov;Настраиваем контекстную рекламу для бизнеса в Алматы: Google Ads, Яндекс Директ, аналитика, оптимизация бюджета и заявок.;Коммерческий геозависимый;контекстная реклама алматы;"настройка google ads алматы; яндекс директ алматы; реклама сайта алматы";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Алматы), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /web-studiya/kontekstnaya-reklama; /web-studiya/almaty";"/web-studiya/kontekstnaya-reklama; /web-studiya/almaty; /keysy/prodvizhenie; /sozdanie-saitov-v-almaty; /seo-prodvizhenie-sajtov-v-almaty";Уникальный оффер для Алматы, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P2;Региональные страницы — этап 2;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;ppc_geo_almaty;;;;Да;40;121
99;3;Лидогенерация;Лидогенерация в Алматы;Геозависимая коммерческая страница направления «Лидогенерация» для компаний в Алматы.;;/web-studiya/lidogeneratsiya/almaty;Лидогенерация для бизнеса в Алматы;Лидогенерация в Алматы | Raskrutov;Привлекаем целевые заявки для бизнеса в Алматы: сайт, реклама, квизы, аналитика, CRM и оптимизация воронки продаж.;Коммерческий геозависимый;лидогенерация алматы;"генерация лидов алматы; лидогенерация для бизнеса алматы; заказать лидогенерацию алматы";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Алматы), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /web-studiya/lidogeneratsiya; /web-studiya/almaty";"/web-studiya/lidogeneratsiya; /web-studiya/almaty; /keysy; /sozdanie-saitov-v-almaty; /seo-prodvizhenie-sajtov-v-almaty";Уникальный оффер для Алматы, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P2;Региональные страницы — этап 2;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;leadgen_geo_almaty;;;;Да;34;114
100;3;Поддержка сайтов;Поддержка сайтов в Алматы;Геозависимая коммерческая страница направления «Поддержка сайтов» для компаний в Алматы.;;/web-studiya/podderzhka-saytov/almaty;Техническая поддержка сайтов в Алматы;Поддержка сайтов в Алматы | Raskrutov;Техническая поддержка сайтов компаний в Алматы: обновления, безопасность, резервные копии, исправления и развитие проекта.;Коммерческий геозависимый;поддержка сайтов алматы;"техническая поддержка сайта алматы; обслуживание сайтов алматы; сопровождение сайта алматы";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Алматы), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /web-studiya/podderzhka-saytov; /web-studiya/almaty";"/web-studiya/podderzhka-saytov; /web-studiya/almaty; /keysy/sayty; /sozdanie-saitov-v-almaty; /seo-prodvizhenie-sajtov-v-almaty";Уникальный оффер для Алматы, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P2;Региональные страницы — этап 2;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;site_support_geo_almaty;;;;Да;37;122
101;3;Digital-консалтинг;Digital-консалтинг в Алматы;Геозависимая коммерческая страница направления «Digital-консалтинг» для компаний в Алматы.;;/web-studiya/digital-konsalting/almaty;Digital-консалтинг для бизнеса в Алматы;Digital-консалтинг в Алматы | Raskrutov;Digital-консалтинг для бизнеса в Алматы: аудит, стратегия, аналитика, приоритеты внедрения и план роста цифровых каналов.;Коммерческий геозависимый;digital консалтинг алматы;"интернет маркетинг консалтинг алматы; digital стратегия алматы; аудит интернет маркетинга алматы";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Алматы), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /web-studiya/digital-konsalting; /web-studiya/almaty";"/web-studiya/digital-konsalting; /web-studiya/almaty; /keysy; /sozdanie-saitov-v-almaty; /seo-prodvizhenie-sajtov-v-almaty";Уникальный оффер для Алматы, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P2;Региональные страницы — этап 2;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;digital_consulting_geo_almaty;;;;Да;39;121
102;3;Вебстудия Raskrutov;Веб-студия в Астане;Геозависимая коммерческая страница направления «Веб-студия» для компаний в Астане.;;/web-studiya/astana;Веб-студия в Астане;Веб-студия в Астане: сайты, SEO и реклама | Raskrutov;Веб-студия Raskrutov в Астане: создаём сайты, продвигаем в поиске и AI-выдаче, настраиваем рекламу и лидогенерацию для бизнеса.;Коммерческий геозависимый;веб студия астана;"услуги веб студии астана; digital агентство астана; интернет агентство астана";;Региональный хаб;index, follow после QA уникальности;CollectionPage, BreadcrumbList;"/web-studiya; /sozdanie-saitov-v-astane; /web-studiya/dizayn/astana; /seo-prodvizhenie-sajtov-v-astane; /web-studiya/aeo-geo-prodvizhenie/astana; /web-studiya/kontekstnaya-reklama/astana; /web-studiya/lidogeneratsiya/astana; /web-studiya/podderzhka-saytov/astana; /web-studiya/digital-konsalting/astana";"/web-studiya; /sozdanie-saitov-v-astane; /web-studiya/dizayn/astana; /seo-prodvizhenie-sajtov-v-astane; /web-studiya/aeo-geo-prodvizhenie/astana; /web-studiya/kontekstnaya-reklama/astana; /web-studiya/lidogeneratsiya/astana; /web-studiya/podderzhka-saytov/astana; /web-studiya/digital-konsalting/astana";Уникальный оффер для Астана, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P1;Региональные страницы — этап 1;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;webstudio_geo_astana;;;;Да;53;127
103;3;Услуги дизайнера;Услуги дизайнера в Астане;Геозависимая коммерческая страница направления «Услуги дизайнера» для компаний в Астане.;;/web-studiya/dizayn/astana;Услуги дизайнера и веб-дизайн в Астане;Услуги дизайнера в Астане | Raskrutov;Дизайн для бизнеса в Астане: сайты, логотипы, фирменный стиль, брендбук и визуальные материалы с понятным процессом и результатом.;Коммерческий геозависимый;услуги дизайнера астана;"веб дизайн астана; дизайн сайта астана; брендинг астана";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Астана), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /web-studiya/dizayn; /web-studiya/astana";"/web-studiya/dizayn; /web-studiya/astana; /keysy/sayty; /sozdanie-saitov-v-astane; /seo-prodvizhenie-sajtov-v-astane";Уникальный оффер для Астана, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P2;Региональные страницы — этап 2;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;design_geo_astana;;;;Да;37;130
104;3;AEO-продвижение;AEO/GEO-продвижение в Астане;Геозависимая коммерческая страница направления «AEO/GEO-продвижение» для компаний в Астане.;;/web-studiya/aeo-geo-prodvizhenie/astana;AEO и GEO-продвижение в AI-выдаче в Астане;AEO/GEO-продвижение в Астане | Raskrutov;Продвигаем компании из Астана в AI-ответах и нейропоиске: структура, сущности, экспертный контент, FAQ, Schema.org и AEO/GEO-оптимизация.;Коммерческий геозависимый;продвижение в ии поиске астана;"aeo продвижение астана; geo продвижение астана; оптимизация сайта под ии астана";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Астана), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /web-studiya/aeo-geo-prodvizhenie; /web-studiya/astana";"/web-studiya/aeo-geo-prodvizhenie; /web-studiya/astana; /keysy/prodvizhenie; /sozdanie-saitov-v-astane; /seo-prodvizhenie-sajtov-v-astane";Уникальный оффер для Астана, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P2;Региональные страницы — этап 2;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;aeo_geo_astana;;;;Да;40;137
105;3;Контекстная реклама;Контекстная реклама в Астане;Геозависимая коммерческая страница направления «Контекстная реклама» для компаний в Астане.;;/web-studiya/kontekstnaya-reklama/astana;Контекстная реклама в Астане;Контекстная реклама в Астане | Raskrutov;Настраиваем контекстную рекламу для бизнеса в Астане: Google Ads, Яндекс Директ, аналитика, оптимизация бюджета и заявок.;Коммерческий геозависимый;контекстная реклама астана;"настройка google ads астана; яндекс директ астана; реклама сайта астана";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Астана), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /web-studiya/kontekstnaya-reklama; /web-studiya/astana";"/web-studiya/kontekstnaya-reklama; /web-studiya/astana; /keysy/prodvizhenie; /sozdanie-saitov-v-astane; /seo-prodvizhenie-sajtov-v-astane";Уникальный оффер для Астана, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P2;Региональные страницы — этап 2;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;ppc_geo_astana;;;;Да;40;121
106;3;Лидогенерация;Лидогенерация в Астане;Геозависимая коммерческая страница направления «Лидогенерация» для компаний в Астане.;;/web-studiya/lidogeneratsiya/astana;Лидогенерация для бизнеса в Астане;Лидогенерация в Астане | Raskrutov;Привлекаем целевые заявки для бизнеса в Астане: сайт, реклама, квизы, аналитика, CRM и оптимизация воронки продаж.;Коммерческий геозависимый;лидогенерация астана;"генерация лидов астана; лидогенерация для бизнеса астана; заказать лидогенерацию астана";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Астана), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /web-studiya/lidogeneratsiya; /web-studiya/astana";"/web-studiya/lidogeneratsiya; /web-studiya/astana; /keysy; /sozdanie-saitov-v-astane; /seo-prodvizhenie-sajtov-v-astane";Уникальный оффер для Астана, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P2;Региональные страницы — этап 2;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;leadgen_geo_astana;;;;Да;34;114
107;3;Поддержка сайтов;Поддержка сайтов в Астане;Геозависимая коммерческая страница направления «Поддержка сайтов» для компаний в Астане.;;/web-studiya/podderzhka-saytov/astana;Техническая поддержка сайтов в Астане;Поддержка сайтов в Астане | Raskrutov;Техническая поддержка сайтов компаний в Астане: обновления, безопасность, резервные копии, исправления и развитие проекта.;Коммерческий геозависимый;поддержка сайтов астана;"техническая поддержка сайта астана; обслуживание сайтов астана; сопровождение сайта астана";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Астана), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /web-studiya/podderzhka-saytov; /web-studiya/astana";"/web-studiya/podderzhka-saytov; /web-studiya/astana; /keysy/sayty; /sozdanie-saitov-v-astane; /seo-prodvizhenie-sajtov-v-astane";Уникальный оффер для Астана, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P2;Региональные страницы — этап 2;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;site_support_geo_astana;;;;Да;37;122
108;3;Digital-консалтинг;Digital-консалтинг в Астане;Геозависимая коммерческая страница направления «Digital-консалтинг» для компаний в Астане.;;/web-studiya/digital-konsalting/astana;Digital-консалтинг для бизнеса в Астане;Digital-консалтинг в Астане | Raskrutov;Digital-консалтинг для бизнеса в Астане: аудит, стратегия, аналитика, приоритеты внедрения и план роста цифровых каналов.;Коммерческий геозависимый;digital консалтинг астана;"интернет маркетинг консалтинг астана; digital стратегия астана; аудит интернет маркетинга астана";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Астана), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /web-studiya/digital-konsalting; /web-studiya/astana";"/web-studiya/digital-konsalting; /web-studiya/astana; /keysy; /sozdanie-saitov-v-astane; /seo-prodvizhenie-sajtov-v-astane";Уникальный оффер для Астана, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P2;Региональные страницы — этап 2;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;digital_consulting_geo_astana;;;;Да;39;121
109;3;Вебстудия Raskrutov;Веб-студия в Шымкенте;Геозависимая коммерческая страница направления «Веб-студия» для компаний в Шымкенте.;;/web-studiya/shymkent;Веб-студия в Шымкенте;Веб-студия в Шымкенте: сайты, SEO и реклама | Raskrutov;Веб-студия Raskrutov в Шымкенте: создаём сайты, продвигаем в поиске и AI-выдаче, настраиваем рекламу и лидогенерацию для бизнеса.;Коммерческий геозависимый;веб студия шымкент;"услуги веб студии шымкент; digital агентство шымкент; интернет агентство шымкент";;Региональный хаб;index, follow после QA уникальности;CollectionPage, BreadcrumbList;"/web-studiya; /sozdanie-saitov-v-shimkente; /web-studiya/dizayn/shymkent; /seo-prodvizhenie-sajtov-v-shimkente; /web-studiya/aeo-geo-prodvizhenie/shymkent; /web-studiya/kontekstnaya-reklama/shymkent; /web-studiya/lidogeneratsiya/shymkent; /web-studiya/podderzhka-saytov/shymkent; /web-studiya/digital-konsalting/shymkent";"/web-studiya; /sozdanie-saitov-v-shimkente; /web-studiya/dizayn/shymkent; /seo-prodvizhenie-sajtov-v-shimkente; /web-studiya/aeo-geo-prodvizhenie/shymkent; /web-studiya/kontekstnaya-reklama/shymkent; /web-studiya/lidogeneratsiya/shymkent; /web-studiya/podderzhka-saytov/shymkent; /web-studiya/digital-konsalting/shymkent";Уникальный оффер для Шымкент, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P1;Региональные страницы — этап 1;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;webstudio_geo_shymkent;;;;Да;55;129
110;3;Услуги дизайнера;Услуги дизайнера в Шымкенте;Геозависимая коммерческая страница направления «Услуги дизайнера» для компаний в Шымкенте.;;/web-studiya/dizayn/shymkent;Услуги дизайнера и веб-дизайн в Шымкенте;Услуги дизайнера в Шымкенте | Raskrutov;Дизайн для бизнеса в Шымкенте: сайты, логотипы, фирменный стиль, брендбук и визуальные материалы с понятным процессом и результатом.;Коммерческий геозависимый;услуги дизайнера шымкент;"веб дизайн шымкент; дизайн сайта шымкент; брендинг шымкент";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Шымкент), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /web-studiya/dizayn; /web-studiya/shymkent";"/web-studiya/dizayn; /web-studiya/shymkent; /keysy/sayty; /sozdanie-saitov-v-shimkente; /seo-prodvizhenie-sajtov-v-shimkente";Уникальный оффер для Шымкент, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P2;Региональные страницы — этап 2;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;design_geo_shymkent;;;;Да;39;132
111;3;AEO-продвижение;AEO/GEO-продвижение в Шымкенте;Геозависимая коммерческая страница направления «AEO/GEO-продвижение» для компаний в Шымкенте.;;/web-studiya/aeo-geo-prodvizhenie/shymkent;AEO и GEO-продвижение в AI-выдаче в Шымкенте;AEO/GEO-продвижение в Шымкенте | Raskrutov;Продвигаем компании из Шымкент в AI-ответах и нейропоиске: структура, сущности, экспертный контент, FAQ, Schema.org и AEO/GEO-оптимизация.;Коммерческий геозависимый;продвижение в ии поиске шымкент;"aeo продвижение шымкент; geo продвижение шымкент; оптимизация сайта под ии шымкент";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Шымкент), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /web-studiya/aeo-geo-prodvizhenie; /web-studiya/shymkent";"/web-studiya/aeo-geo-prodvizhenie; /web-studiya/shymkent; /keysy/prodvizhenie; /sozdanie-saitov-v-shimkente; /seo-prodvizhenie-sajtov-v-shimkente";Уникальный оффер для Шымкент, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P2;Региональные страницы — этап 2;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;aeo_geo_shymkent;;;;Да;42;138
112;3;Контекстная реклама;Контекстная реклама в Шымкенте;Геозависимая коммерческая страница направления «Контекстная реклама» для компаний в Шымкенте.;;/web-studiya/kontekstnaya-reklama/shymkent;Контекстная реклама в Шымкенте;Контекстная реклама в Шымкенте | Raskrutov;Настраиваем контекстную рекламу для бизнеса в Шымкенте: Google Ads, Яндекс Директ, аналитика, оптимизация бюджета и заявок.;Коммерческий геозависимый;контекстная реклама шымкент;"настройка google ads шымкент; яндекс директ шымкент; реклама сайта шымкент";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Шымкент), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /web-studiya/kontekstnaya-reklama; /web-studiya/shymkent";"/web-studiya/kontekstnaya-reklama; /web-studiya/shymkent; /keysy/prodvizhenie; /sozdanie-saitov-v-shimkente; /seo-prodvizhenie-sajtov-v-shimkente";Уникальный оффер для Шымкент, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P2;Региональные страницы — этап 2;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;ppc_geo_shymkent;;;;Да;42;123
113;3;Лидогенерация;Лидогенерация в Шымкенте;Геозависимая коммерческая страница направления «Лидогенерация» для компаний в Шымкенте.;;/web-studiya/lidogeneratsiya/shymkent;Лидогенерация для бизнеса в Шымкенте;Лидогенерация в Шымкенте | Raskrutov;Привлекаем целевые заявки для бизнеса в Шымкенте: сайт, реклама, квизы, аналитика, CRM и оптимизация воронки продаж.;Коммерческий геозависимый;лидогенерация шымкент;"генерация лидов шымкент; лидогенерация для бизнеса шымкент; заказать лидогенерацию шымкент";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Шымкент), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /web-studiya/lidogeneratsiya; /web-studiya/shymkent";"/web-studiya/lidogeneratsiya; /web-studiya/shymkent; /keysy; /sozdanie-saitov-v-shimkente; /seo-prodvizhenie-sajtov-v-shimkente";Уникальный оффер для Шымкент, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P2;Региональные страницы — этап 2;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;leadgen_geo_shymkent;;;;Да;36;116
114;3;Поддержка сайтов;Поддержка сайтов в Шымкенте;Геозависимая коммерческая страница направления «Поддержка сайтов» для компаний в Шымкенте.;;/web-studiya/podderzhka-saytov/shymkent;Техническая поддержка сайтов в Шымкенте;Поддержка сайтов в Шымкенте | Raskrutov;Техническая поддержка сайтов компаний в Шымкенте: обновления, безопасность, резервные копии, исправления и развитие проекта.;Коммерческий геозависимый;поддержка сайтов шымкент;"техническая поддержка сайта шымкент; обслуживание сайтов шымкент; сопровождение сайта шымкент";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Шымкент), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /web-studiya/podderzhka-saytov; /web-studiya/shymkent";"/web-studiya/podderzhka-saytov; /web-studiya/shymkent; /keysy/sayty; /sozdanie-saitov-v-shimkente; /seo-prodvizhenie-sajtov-v-shimkente";Уникальный оффер для Шымкент, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P2;Региональные страницы — этап 2;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;site_support_geo_shymkent;;;;Да;39;124
115;3;Digital-консалтинг;Digital-консалтинг в Шымкенте;Геозависимая коммерческая страница направления «Digital-консалтинг» для компаний в Шымкенте.;;/web-studiya/digital-konsalting/shymkent;Digital-консалтинг для бизнеса в Шымкенте;Digital-консалтинг в Шымкенте | Raskrutov;Digital-консалтинг для бизнеса в Шымкенте: аудит, стратегия, аналитика, приоритеты внедрения и план роста цифровых каналов.;Коммерческий геозависимый;digital консалтинг шымкент;"интернет маркетинг консалтинг шымкент; digital стратегия шымкент; аудит интернет маркетинга шымкент";;Гео-услуга;index, follow после QA уникальности;Service (areaServed: Шымкент), BreadcrumbList, FAQPage (если FAQ видим);"/web-studiya; /web-studiya/digital-konsalting; /web-studiya/shymkent";"/web-studiya/digital-konsalting; /web-studiya/shymkent; /keysy; /sozdanie-saitov-v-shimkente; /seo-prodvizhenie-sajtov-v-shimkente";Уникальный оффер для Шымкент, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P2;Региональные страницы — этап 2;Запланирована (региональное расширение);NEW;"Добавлена по новому требованию о покрытии 18 основных городов Казахстана; индексировать после проверки уникальности и полезности.";Средняя;digital_consulting_geo_shymkent;;;;Да;41;123
