 ,Главная,—,Главная,/,Главная,P0,Raskrutov — цифровая экосистема для роста бизнеса,49,"Сайты, продвижение, CRM, автоматизация, обучение, партнёрская сеть и R-Builder для цифрового роста бизнеса в Казахстане.",120,Создана,Опубликована,,,,Главная страница уже создана
16,Студия,Вебстудия Raskrutov,Услуги дизайнера,/web-studiya/dizayn,Хаб услуги,P2,"Дизайн для бизнеса — логотип, брендбук и визуальная упаковка",60,"Разрабатываем визуальную основу бренда: нейминг, логотип, брендбук, фирменный стиль и дизайн-материалы.",103,Опубликована,Структура/SEO,,,,
17,Дизайн,Услуги дизайнера,Нейминг,/web-studiya/dizayn/neyming,Узкая услуга,P3,"Нейминг для бизнеса — название бренда, услуги или продукта",58,"Придумываем названия для компаний, продуктов и услуг с учётом позиционирования, смысла, звучания и доменных зон.",112,Запланировано,Структура/SEO,,,,
18,Дизайн,Услуги дизайнера,Создание брендбука,/web-studiya/dizayn/brendbuk,Узкая услуга,P3,Создание брендбука — фирменный стиль и правила бренда,53,"Разрабатываем брендбук: логотип, цвета, шрифты, визуальные правила, носители и рекомендации по использованию.",109,Запланировано,Структура/SEO,,,,
19,Дизайн,Услуги дизайнера,Создание логотипа,/web-studiya/dizayn/logotip,Узкая услуга,P3,Создание логотипа — фирменный знак для бизнеса,46,"Создаём логотипы для компаний, проектов и продуктов: концепция, варианты, доработка и подготовка файлов.",104,Запланировано,Структура/SEO,,,,
20,Студия,Вебстудия Raskrutov,SEO-продвижение,/web-studiya/seo-prodvizhenie,Услуга,P1,SEO-продвижение сайтов в Казахстане — рост органики и заявок,60,"Продвигаем сайты в Google и Яндекс: структура, семантика, контент, техническая оптимизация и рост коммерческих запросов.",120,Опубликована,Структура/SEO,,,,
21,SEO-продвижение,SEO-продвижение,Продвижение в Google,/web-studiya/seo-prodvizhenie/google,Узкая услуга,P2,Продвижение сайта в Google — SEO для бизнеса,44,"Оптимизируем сайт под Google: семантика, страницы, контент, техническая база, E-E-A-T и рост целевых запросов.",110,Запланировано,Структура/SEO,,,,
22,SEO-продвижение,SEO-продвижение,Продвижение в Яндекс,/web-studiya/seo-prodvizhenie/yandex,Узкая услуга,P2,Продвижение сайта в Яндекс — SEO и коммерческие факторы,55,"Продвигаем сайты в Яндекс: структура, тексты, поведенческие и коммерческие факторы, карты и локальная выдача.",109,Запланировано,Структура/SEO,,,,
23,Студия,Вебстудия Raskrutov,AEO-продвижение,/web-studiya/aeo-prodvizhenie,Услуга,P1,AEO-продвижение — видимость бизнеса в AI-выдаче,47,"Готовим сайт к ответам ИИ и поисковым подсказкам: структура, FAQ, экспертный контент, Schema и понятные ответы.",111,Опубликована,Структура/SEO,,,,
24,Студия,Вебстудия Raskrutov,Контекстная реклама,/web-studiya/kontekstnaya-reklama,Услуга,P1,Контекстная реклама — Google Ads и Яндекс Директ,48,"Настраиваем контекстную рекламу под заявки: семантика, объявления, посадочные страницы, аналитика и оптимизация бюджета.",120,Опубликована,Структура/SEO,,,,
25,Контекстная реклама,Контекстная реклама,Контекстная реклама в Google,/web-studiya/kontekstnaya-reklama/google-ads,Узкая услуга,P2,Настройка Google Ads — поисковая реклама для заявок,51,"Запускаем Google Ads: ключевые запросы, объявления, расширения, минус-слова, конверсии и контроль эффективности.",112,Запланировано,Структура/SEO,,,,
26,Контекстная реклама,Контекстная реклама,Контекстная реклама в Яндекс,/web-studiya/kontekstnaya-reklama/yandex-direct,Узкая услуга,P2,Настройка Яндекс Директ — реклама для бизнеса,45,"Настраиваем Яндекс Директ: кампании, ключевые фразы, объявления, аналитика, минус-слова и оптимизация заявок.",109,Запланировано,Структура/SEO,,,,
27,Студия,Вебстудия Raskrutov,Лидогенерация,/web-studiya/lidogeneratsiya,Услуга,P1,Лидогенерация для бизнеса — заявки из сайта и рекламы,53,"Выстраиваем поток целевых заявок через сайт, рекламу, квизы, аналитику, CRM и оптимизацию воронки продаж.",105,Опубликована,Структура/SEO,,,,
28,Студия,Вебстудия Raskrutov,Поддержка сайтов,/web-studiya/podderzhka-saytov,Услуга,P2,"Поддержка сайтов — правки, развитие и техническое сопровождение",63,"Сопровождаем сайты после запуска: обновления, правки, контроль, SEO-задачи, новые страницы и стабильная работа.",111,Опубликована,Структура/SEO,,,,
29,Студия,Вебстудия Raskrutov,Digital-консалтинг,/web-studiya/digital-konsalting,Хаб услуги,P2,Digital-консалтинг для бизнеса — стратегия роста в интернете,60,"Анализируем сайт, продвижение, рекламу и продажи, чтобы собрать понятную digital-стратегию и план развития.",107,Опубликована,Структура/SEO,,,,
30,Digital-консалтинг,Digital-консалтинг,Аудит сайта,/web-studiya/digital-konsalting/audit-sayta,Узкая услуга,P3,"Аудит сайта — проверка SEO, структуры и конверсии",49,"Проводим аудит сайта: технические ошибки, SEO, структура, тексты, скорость, формы, аналитика и точки роста.",107,Запланировано,Структура/SEO,,,,
31,Digital-консалтинг,Digital-консалтинг,Аудит продвижения,/web-studiya/digital-konsalting/audit-prodvizheniya,Узкая услуга,P3,Аудит продвижения — проверка SEO и рекламы,42,"Проверяем SEO, рекламу, аналитику, посадочные страницы и воронку, чтобы найти потери бюджета и точки роста.",107,Запланировано,Структура/SEO,,,,
32,Digital-консалтинг,Digital-консалтинг,Digital-стратегия,/web-studiya/digital-konsalting/digital-strategiya,Узкая услуга,P3,Digital-стратегия для бизнеса — план роста заявок,49,"Разрабатываем стратегию продвижения: сайт, SEO, реклама, контент, CRM, аналитика и приоритеты внедрения.",104,Запланировано,Структура/SEO,,,,
33,Digital-консалтинг,Digital-консалтинг,Консультация для бизнеса,/web-studiya/digital-konsalting/konsultatsiya-dlya-biznesa,Узкая услуга,P3,Digital-консультация для бизнеса — разбор сайта и заявок,56,"Проводим консультации по сайту, продвижению, рекламе, CRM и digital-системе продаж для бизнеса.",95,Запланировано,Структура/SEO,,,,
34,CRM,Главная,CRM и автоматизация,/crm,Хаб,P1,CRM и автоматизация продаж — контроль заявок и процессов,56,"Внедряем CRM, автоматизируем продажи, интегрируем сайт, мессенджеры, телефонию и аналитику для контроля лидов.",110,Запланировано,Структура/SEO,,,,
35,CRM,CRM и автоматизация,Внедрение CRM,/crm/vnedrenie-crm,Услуга,P2,"Внедрение CRM — настройка воронок, заявок и контроля",52,"Настраиваем CRM под бизнес: воронки, поля, задачи, уведомления, интеграции с сайтом и отчётность для руководителя.",114,Запланировано,Структура/SEO,,,,
36,CRM,CRM и автоматизация,Автоматизация продаж,/crm/avtomatizatsiya-prodazh,Услуга,P2,"Автоматизация продаж — воронки, задачи и контроль менеджеров",60,"Автоматизируем обработку лидов: задачи, статусы, напоминания, скрипты, уведомления и контроль отдела продаж.",108,Запланировано,Структура/SEO,,,,
37,CRM,CRM и автоматизация,Интеграция с CRM,/crm/integratsiya-s-crm,Услуга,P2,Интеграция сайта с CRM — заявки без потерь,42,"Интегрируем формы сайта, квизы, мессенджеры, телефонию и аналитику с CRM, чтобы каждая заявка попадала в работу.",112,Запланировано,Структура/SEO,,,,
38,Академия,Главная,Академия Raskrutov,/akademiya,Хаб,P0,Академия Raskrutov — обучение digital-навыкам и сайтам,54,"Практическое обучение созданию сайтов, SEO, AEO, R-Builder и digital-инструментам для бизнеса, специалистов и партнёров.",120,Опубликована,Опубликована,,,,
39,Академия,Академия Raskrutov,Обучение созданию сайтов,/akademiya/obuchenie-sozdaniyu-saytov,Обучение,P2,Обучение созданию сайтов — практический курс Raskrutov,54,"Учитесь создавать сайты для бизнеса: структура, дизайн, тексты, редактор, публикация, заявки и базовая SEO-подготовка.",118,Запланировано,Структура/SEO,,,,
40,Академия,Академия Raskrutov,Обучение SEO и AEO,/akademiya/obuchenie-seo-aeo,Обучение,P2,Обучение SEO и AEO — продвижение в поиске и AI-ответах,54,"Практический курс по SEO и AEO: семантика, структура страниц, контент, Schema, FAQ и рост видимости сайта.",106,Запланировано,Структура/SEO,,,,
41,Академия,Академия Raskrutov,Обучение R-Builder,/akademiya/obuchenie-r-builder,Обучение,P2,Обучение R-Builder — создание сайтов через AI и редактор,56,"Учитесь создавать сайты в R-Builder by Raskrutov: AI-структура, визуальный редактор, блоки, настройки и публикация.",115,Запланировано,Структура/SEO,,,,
42,Академия,Академия Raskrutov,Корпоративное обучение,/akademiya/korporativnoe-obuchenie,Обучение,P2,Корпоративное обучение digital-навыкам для бизнеса,50,"Обучаем команды созданию сайтов, работе с R-Builder, SEO, AEO, контентом и базовыми digital-инструментами.",106,Запланировано,Структура/SEO,,,,
43,R-Builder,Главная,R-Builder,/r-builder,Хаб продукта,P0,R-Builder by Raskrutov — AI-платформа для создания сайтов,57,"Собственная платформа Raskrutov для быстрого создания структуры, логики и цифровой упаковки бизнеса на базе AI-инструментов.",124,Опубликована,Опубликована,,,,
44,R-Builder,R-Builder,Что такое R-Builder,/r-builder/chto-takoe-r-builder,Продукт,P2,Что такое R-Builder — платформа для создания сайтов,51,"Рассказываем, как R-Builder помогает быстро собирать сайты, структуру, блоки и digital-упаковку бизнеса.",104,Создана,Структура/SEO,,,,
45,R-Builder,R-Builder,AI R-Builder,/r-builder/ai-r-builder,Продукт,P2,AI R-Builder — генерация структуры сайта через AI,49,"AI R-Builder помогает создавать основу сайта: структуру, блоки, смыслы, тексты и стартовую упаковку проекта.",108,Создана,Структура/SEO,,,,
46,R-Builder,R-Builder,Возможности платформы,/r-builder/vozmozhnosti,Продукт,P2,"Возможности R-Builder — сайты, блоки, AI и публикация",53,"Обзор возможностей R-Builder: генерация, визуальный редактор, адаптивность, формы, интеграции и быстрый запуск сайта.",117,Создана,Структура/SEO,,,,
47,R-Builder,R-Builder,R-Builder для бизнеса,/r-builder/dlya-biznesa,Продукт,P2,R-Builder для бизнеса — быстрый запуск сайта и заявок,53,"R-Builder помогает бизнесу быстро запустить сайт, проверить гипотезу, упаковать услугу и начать получать заявки.",112,Создана,Структура/SEO,,,,
48,Партнёры,Главная,Партнёрам Raskrutov,/partneram,Хаб,P0,Партнёрство с Raskrutov — digital-бизнес под сильной системой,61,"Запускайте digital-направление с Raskrutov: продукт, стандарты, обучение, сопровождение, R-Builder и партнёрская модель.",120,Опубликована,Опубликована,,,,
49,Партнёры,Партнёрам Raskrutov,Партнёрская программа — франшиза,/partneram/franshiza,Партнёрство,P2,Франшиза Raskrutov — партнёрская модель digital-бизнеса,55,"Партнёрская программа Raskrutov: бренд, методология, обучение, стандарты, R-Builder и поддержка запуска.",104,Запланировано,Структура/SEO,,,,
50,Партнёры,Партнёрам Raskrutov,Пакеты партнёрства,/partneram/pakety-partnerstva,Партнёрство,P2,Пакеты партнёрства Raskrutov — форматы запуска,46,"Сравните пакеты партнёрства Raskrutov: что входит, кому подходит, как проходит запуск и сопровождение партнёра.",111,Запланировано,Структура/SEO,,,,
51,Партнёры,Партнёрам Raskrutov,Для рекламных агентств,/partneram/dlya-reklamnyh-agentstv,Партнёрство,P2,"Raskrutov для рекламных агентств — сайты, R-Builder и производство",66,"Помогаем агентствам закрывать задачи по сайтам, структуре, R-Builder, производству страниц и digital-системам для клиентов.",123,Запланировано,Структура/SEO,,,,
52,Партнёры,Партнёрам Raskrutov,Действующие партнёры,/partneram/deystvuyushchie-partnery,Партнёрство,P2,"Партнёры Raskrutov — сеть, города и направления",47,"Страница партнёров Raskrutov: действующие участники сети, города, направления работы и возможности сотрудничества.",114,Запланировано,Структура/SEO,,,,
53,Кейсы,Главная,Кейсы Raskrutov,/keysy,Хаб,P0,"Кейсы Raskrutov — сайты, продвижение, CRM и обучение",52,"Смотрите примеры проектов Raskrutov: сайты, SEO, реклама, CRM, R-Builder, академия и партнёрские запуски.",105,Опубликована,Структура/SEO,,,,
54,Кейсы,Кейсы Raskrutov,Кейсы: сайты,/keysy/sayty,Кейсы,P2,Кейсы по созданию сайтов — проекты Raskrutov,44,"Примеры сайтов, созданных Raskrutov: задачи, решения, структура, дизайн, запуск и результаты для бизнеса.",105,Опубликована,Структура/SEO,,,,
55,Кейсы,Кейсы Raskrutov,Кейсы: продвижение,/keysy/prodvizhenie,Кейсы,P2,"Кейсы по продвижению — SEO, реклама и лидогенерация",51,"Примеры продвижения проектов: рост видимости, заявки, реклама, SEO-структура, контент и аналитика.",98,Опубликована,Структура/SEO,,,,
56,Кейсы,Кейсы Raskrutov,Кейсы: CRM,/keysy/crm,Кейсы,P2,Кейсы CRM и автоматизации — заявки и продажи,44,"Примеры внедрения CRM, автоматизации заявок, интеграций, воронок продаж и контроля обработки лидов.",99,Запланировано,Структура/SEO,,,,
57,Кейсы,Кейсы Raskrutov,Кейсы: Академия,/keysy/akademiya,Кейсы,P2,Кейсы Академии Raskrutov — обучение и результаты учеников,57,"Истории обучения в Академии Raskrutov: проекты, навыки, созданные сайты и практические результаты учеников.",107,Запланировано,Структура/SEO,,,,
58,Кейсы,Кейсы Raskrutov,Кейсы: партнёры,/keysy/partnery,Кейсы,P2,Кейсы партнёров Raskrutov — запуск digital-бизнеса,50,"Примеры партнёрских запусков Raskrutov: обучение, внедрение стандартов, первые проекты и развитие партнёров.",108,Запланировано,Структура/SEO,,,,
59,FAQ,Главная,Вопросы и ответы,/faq,FAQ-хаб,P0,"Вопросы и ответы Raskrutov — сайты, SEO, CRM, обучение",54,"Ответы на частые вопросы о сайтах, SEO, AEO, CRM, R-Builder, Академии и партнёрской программе Raskrutov.",104,Опубликована,Структура/SEO,,,,
60,FAQ,Вопросы и ответы,FAQ по сайтам,/faq/sayty,FAQ,P2,"FAQ по созданию сайтов — сроки, цена, этапы, поддержка",54,"Ответы на вопросы о разработке сайтов: сроки, стоимость, этапы, материалы, домен, хостинг, SEO и поддержка.",107,Запланировано,Структура/SEO,,,,
61,FAQ,Вопросы и ответы,FAQ по SEO,/faq/seo,FAQ,P2,"FAQ по SEO-продвижению — сроки, результат и стоимость",53,"Ответы на вопросы о SEO: когда ждать рост, что входит в продвижение, как считается цена и какие работы проводятся.",114,Запланировано,Структура/SEO,,,,
62,FAQ,Вопросы и ответы,FAQ по AEO,/faq/aeo,FAQ,P2,FAQ по AEO — продвижение в AI-выдаче и ответах,46,"Ответы на вопросы об AEO: что это, чем отличается от SEO, как готовить сайт к AI-ответам и зачем нужна структура.",113,Запланировано,Структура/SEO,,,,
63,FAQ,Вопросы и ответы,FAQ по CRM,/faq/crm,FAQ,P2,"FAQ по CRM — внедрение, интеграции и автоматизация",50,"Ответы на вопросы о CRM: выбор системы, настройка воронок, интеграции с сайтом, автоматизация и контроль заявок.",112,Запланировано,Структура/SEO,,,,
64,FAQ,Вопросы и ответы,FAQ по Академии,/faq/akademiya,FAQ,P2,FAQ по Академии Raskrutov — обучение и курсы,44,"Ответы на вопросы об обучении: программы, формат, длительность, практика, домашние задания и результат после курса.",115,Запланировано,Структура/SEO,,,,
65,FAQ,Вопросы и ответы,FAQ по партнёрству,/faq/partnerstvo,FAQ,P2,FAQ по партнёрству Raskrutov — франшиза и запуск,48,"Ответы на вопросы о партнёрской программе: условия, пакеты, обучение, сопровождение, клиенты и модель работы.",109,Запланировано,Структура/SEO,,,,
66,О компании,Главная,О компании Raskrutov,/o-kompanii,Хаб,P0,О компании Raskrutov — экосистема цифрового роста,49,"Raskrutov — цифровая экосистема из студии, маркетинга, CRM, Академии, партнёрской сети и платформы R-Builder.",109,Опубликована,Опубликована,,,,
67,О компании,О компании Raskrutov,О нас,/o-kompanii/o-nas,Инфо,P3,О нас — команда и подход Raskrutov,34,"Кто мы, как работаем, какие задачи решаем для бизнеса и почему развиваем экосистему digital-направлений Raskrutov.",114,Опубликована,Структура/SEO,,,,
68,О компании,О компании Raskrutov,Команда,/o-kompanii/komanda,Инфо,P3,Команда Raskrutov — специалисты студии и экосистемы,51,"Познакомьтесь с командой Raskrutov: разработка сайтов, SEO, контент, дизайн, CRM, обучение и партнёрское развитие.",114,Опубликована,Структура/SEO,,,,
69,О компании,О компании Raskrutov,Благодарственные письма,/o-kompanii/blagodarstvennye-pisma,Инфо,P3,Благодарственные письма Raskrutov — доверие клиентов,52,"Благодарственные письма, подтверждения сотрудничества и отзывы компаний, которые работали с командой Raskrutov.",111,Запланировано,Структура/SEO,,,,
70,О компании,О компании Raskrutov,Наши клиенты,/o-kompanii/klienty,Инфо,P3,Клиенты Raskrutov — компании и проекты,38,"Компании и предприниматели, для которых Raskrutov создавал сайты, продвижение, CRM, обучение и digital-решения.",111,Запланировано,Структура/SEO,,,,
71,О компании,О компании Raskrutov,Блог,/o-kompanii/blog,Инфо,P3,"Блог Raskrutov — сайты, SEO, AEO, CRM и digital",47,"Материалы о создании сайтов, SEO, AEO, рекламе, CRM, R-Builder, обучении и развитии digital-системы бизнеса.",108,Запланировано,Структура/SEO,,,,
72,О компании,О компании Raskrutov,Вакансии,/o-kompanii/vakansii,Инфо,P3,Вакансии Raskrutov — работа в digital-команде,45,"Открытые вакансии Raskrutov для специалистов по сайтам, SEO, контенту, дизайну, продажам, обучению и партнёрству.",113,Запланировано,Структура/SEO,,,,
73,Контакты,Главная,Контакты Raskrutov,/kontakty,Контакты,P0,"Контакты Raskrutov — обсудить проект, сайт или партнёрство",58,"Свяжитесь с Raskrutov, чтобы обсудить сайт, продвижение, CRM, обучение, R-Builder или партнёрскую программу.",108,Опубликована,Опубликована,,,,
ID,Раздел,Родитель,Страница,URL,Тип,Приоритет,Title,Длина Title,Description,Длина Description,Статус,Этап,Ответственный,Дата старта,Дата публикации,Примечание
