ID,Уровень,Родительский раздел,Название страницы,Итоговый URL,H1,Title,Description,Тип страницы,Индексируемость,Schema.org,Приоритет,Этап разработки,Статус публикации,Решение,Входящие внутренние ссылки,Исходящие внутренние ссылки
11,4,Создание сайтов,Интеграции,/web-studiya/sozdanie-saitov/integratsii,Интеграции,"Интеграции для сайта — CRM, формы, оплата, аналитика","Подключаем к сайту CRM, формы, мессенджеры, оплату, аналитику, онлайн-сервисы и автоматические уведомления.",Узкая услуга,"index, follow","Service, BreadcrumbList, FAQPage (если FAQ видим на странице)",P2,Структура/SEO,Не опубликована,NEW,/sozdanie-saitov; /sozdanie-saitov-s-1c-integraciya,/; /keysy/sayty; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /sozdanie-saitov-s-1c-integraciya; /web-studiya/podderzhka-saytov
12,2,Интеграции,Интеграция сайта с 1С,/sozdanie-saitov-s-1c-integraciya,Создание сайта с интеграцией 1С,Создание сайта с интеграцией 1С | Raskrutov,"Разрабатываем и подключаем сайты к 1С: обмен каталогом, ценами, остатками и заказами по согласованной схеме интеграции.",Узкая услуга,"index, follow","Service, BreadcrumbList, FAQPage (если FAQ видим на странице)",P2,Переработка контента и SEO,Старый URL с данными GSC; сохранить и проверить доступность,UPDATE,/web-studiya/sozdanie-saitov/integratsii,/; /keysy/sayty; /seo-prodvizhenie-sajtov; /web-studiya/podderzhka-saytov; /web-studiya/sozdanie-saitov/integratsii
13,4,Создание сайтов,Разработка онлайн-калькуляторов,/web-studiya/sozdanie-saitov/onlayn-kalkulyatory,Разработка онлайн-калькуляторов,Разработка онлайн-калькуляторов для сайта,"Создаём онлайн-калькуляторы стоимости, подбора и расчёта для сайтов услуг, производства, доставки и продаж.",Узкая услуга,"index, follow","Service, BreadcrumbList, FAQPage (если FAQ видим на странице)",P2,Структура/SEO,Не опубликована,NEW,/sozdanie-saitov,/; /keysy/sayty; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /web-studiya/podderzhka-saytov
14,4,Создание сайтов,Внедрение AI-консультантов,/web-studiya/sozdanie-saitov/ai-konsultanty,Внедрение AI-консультантов,AI-консультант для сайта — внедрение и настройка,"Внедряем AI-консультантов на сайт для ответов на вопросы, сбора заявок и поддержки клиентов 24/7.",Узкая услуга,"index, follow","Service, BreadcrumbList, FAQPage (если FAQ видим на странице)",P2,Структура/SEO,Не опубликована,NEW,/sozdanie-saitov,/; /keysy/sayty; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /web-studiya/podderzhka-saytov
15,3,Создание сайтов,Создание сайтов в Петропавловске,/sozdanie-saitov-v-Petropavlovske,Создание сайтов в Петропавловске,Создание сайтов в Петропавловске под ключ | Raskrutov,"Создаём сайты для бизнеса в Петропавловске: лендинги, корпоративные сайты и интернет-магазины с подготовкой к SEO, рекламе и продажам.",Гео-услуга,"index, follow","Service (areaServed: Петропавловск), BreadcrumbList, FAQPage (если FAQ видим)",P1,Переработка контента и SEO,Старый URL с данными GSC; сохранить и проверить доступность,UPDATE,/sozdanie-saitov; /web-studiya; /web-studiya/petropavlovsk,/; /keysy/sayty; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /web-studiya/podderzhka-saytov; /web-studiya/petropavlovsk; /sozdanie-saitov-v-Petropavlovske; /seo-prodvizhenie-sajtov-v-petropavlovske
16,3,Создание сайтов,Создание сайтов в Астане,/sozdanie-saitov-v-astane,Создание сайтов в Астане,Создание сайтов в Астане под ключ | Raskrutov,"Создаём сайты для бизнеса в Астане: лендинги, корпоративные сайты и интернет-магазины с подготовкой к SEO, рекламе и продажам.",Гео-услуга,"index, follow","Service (areaServed: Астана), BreadcrumbList, FAQPage (если FAQ видим)",P1,Переработка контента и SEO,Старый URL с данными GSC; сохранить и проверить доступность,UPDATE,/sozdanie-saitov; /web-studiya; /web-studiya/astana,/; /keysy/sayty; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /web-studiya/podderzhka-saytov; /web-studiya/astana; /sozdanie-saitov-v-astane; /seo-prodvizhenie-sajtov-v-astane
17,3,Создание сайтов,Создание сайтов в Алматы,/sozdanie-saitov-v-almaty,Создание сайтов в Алматы,Создание сайтов в Алматы под ключ | Raskrutov,"Создаём сайты для бизнеса в Алматы: лендинги, корпоративные сайты и интернет-магазины с подготовкой к SEO, рекламе и продажам.",Гео-услуга,"index, follow","Service (areaServed: Алматы), BreadcrumbList, FAQPage (если FAQ видим)",P1,Переработка контента и SEO,Старый URL с данными GSC; сохранить и проверить доступность,UPDATE,/sozdanie-saitov; /web-studiya; /web-studiya/almaty,/; /keysy/sayty; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /web-studiya/podderzhka-saytov; /web-studiya/almaty; /sozdanie-saitov-v-almaty; /seo-prodvizhenie-sajtov-v-almaty
18,3,Создание сайтов,Создание сайтов в Шымкенте,/sozdanie-saitov-v-shimkente,Создание сайтов в Шымкенте,Создание сайтов в Шымкенте под ключ | Raskrutov,"Создаём сайты для бизнеса в Шымкенте: лендинги, корпоративные сайты и интернет-магазины с подготовкой к SEO, рекламе и продажам.",Гео-услуга,"index, follow","Service (areaServed: Шымкент), BreadcrumbList, FAQPage (если FAQ видим)",P1,Переработка контента и SEO,Старый URL с данными GSC; сохранить и проверить доступность,UPDATE,/sozdanie-saitov; /web-studiya; /web-studiya/shymkent,/; /keysy/sayty; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /web-studiya/podderzhka-saytov; /web-studiya/shymkent; /sozdanie-saitov-v-shimkente; /seo-prodvizhenie-sajtov-v-shimkente
19,3,Создание сайтов,Создание сайтов в Караганде,/sozdanie-saitov-v-karagande,Создание сайтов в Караганде,Создание сайтов в Караганде под ключ | Raskrutov,"Создаём сайты для бизнеса в Караганде: лендинги, корпоративные сайты и интернет-магазины с подготовкой к SEO, рекламе и продажам.",Гео-услуга,"index, follow","Service (areaServed: Караганда), BreadcrumbList, FAQPage (если FAQ видим)",P1,Переработка контента и SEO,Старый URL с данными GSC; сохранить и проверить доступность,UPDATE,/sozdanie-saitov; /web-studiya; /web-studiya/karaganda,/; /keysy/sayty; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /web-studiya/podderzhka-saytov; /web-studiya/karaganda; /sozdanie-saitov-v-karagande; /seo-prodvizhenie-sajtov-v-karagande
20,3,Вебстудия Raskrutov,Услуги дизайнера,/web-studiya/dizayn,Услуги дизайнера,"Дизайн для бизнеса — логотип, брендбук и визуальная упаковка","Разрабатываем визуальную основу бренда: нейминг, логотип, брендбук, фирменный стиль и дизайн-материалы.",Хаб услуги,"index, follow","CollectionPage, BreadcrumbList",P2,SEO-проверка,Опубликована (sitemap),KEEP,/web-studiya; /web-studiya/dizayn/brendbuk; /web-studiya/dizayn/logotip; /web-studiya/dizayn/neyming; /web-studiya/dizayn/almaty; /web-studiya/dizayn/astana; /web-studiya/dizayn/shymkent; /web-studiya/dizayn/aktau; /web-studiya/dizayn/aktobe; /web-studiya/dizayn/atyrau; /web-studiya/dizayn/karaganda; /web-studiya/dizayn/kokshetau; /web-studiya/dizayn/kostanay; /web-studiya/dizayn/kyzylorda; /web-studiya/dizayn/pavlodar; /web-studiya/dizayn/petropavlovsk; /web-studiya/dizayn/semey; /web-studiya/dizayn/taldykorgan; /web-studiya/dizayn/taraz; /web-studiya/dizayn/turkestan; /web-studiya/dizayn/uralsk; /web-studiya/dizayn/ust-kamenogorsk,/; /web-studiya; /web-studiya/dizayn/brendbuk; /web-studiya/dizayn/logotip; /web-studiya/dizayn/neyming; /web-studiya/dizayn/almaty; /web-studiya/dizayn/astana; /web-studiya/dizayn/shymkent; /web-studiya/dizayn/aktau; /web-studiya/dizayn/aktobe; /web-studiya/dizayn/atyrau; /web-studiya/dizayn/karaganda; /web-studiya/dizayn/kokshetau; /web-studiya/dizayn/kostanay; /web-studiya/dizayn/kyzylorda; /web-studiya/dizayn/pavlodar; /web-studiya/dizayn/petropavlovsk; /web-studiya/dizayn/semey; /web-studiya/dizayn/taldykorgan; /web-studiya/dizayn/taraz; /web-studiya/dizayn/turkestan; /web-studiya/dizayn/uralsk; /web-studiya/dizayn/ust-kamenogorsk
21,4,Услуги дизайнера,Нейминг,/web-studiya/dizayn/neyming,Нейминг,"Нейминг для бизнеса — название бренда, услуги или продукта","Придумываем названия для компаний, продуктов и услуг с учётом позиционирования, смысла, звучания и доменных зон.",Узкая услуга,"index, follow","Service, BreadcrumbList, FAQPage (если FAQ видим на странице)",P3,Структура/SEO,Не опубликована,NEW,/web-studiya/dizayn,/; /web-studiya/dizayn
22,4,Услуги дизайнера,Создание брендбука,/web-studiya/dizayn/brendbuk,Создание брендбука,Создание брендбука — фирменный стиль и правила бренда,"Разрабатываем брендбук: логотип, цвета, шрифты, визуальные правила, носители и рекомендации по использованию.",Узкая услуга,"index, follow","Service, BreadcrumbList, FAQPage (если FAQ видим на странице)",P3,Структура/SEO,Не опубликована,NEW,/web-studiya/dizayn,/; /web-studiya/dizayn
23,4,Услуги дизайнера,Создание логотипа,/web-studiya/dizayn/logotip,Создание логотипа,Создание логотипа — фирменный знак для бизнеса,"Создаём логотипы для компаний, проектов и продуктов: концепция, варианты, доработка и подготовка файлов.",Узкая услуга,"index, follow","Service, BreadcrumbList, FAQPage (если FAQ видим на странице)",P3,Структура/SEO,Не опубликована,NEW,/web-studiya/dizayn,/; /web-studiya/dizayn
24,2,Вебстудия Raskrutov,SEO-продвижение,/seo-prodvizhenie-sajtov,SEO-продвижение сайтов в Казахстане,SEO-продвижение сайтов в Казахстане | Raskrutov,"Продвигаем сайты в Google и Яндекс: семантика, структура, контент, техническая оптимизация, аналитика и развитие коммерческих страниц.",Услуга,"index, follow","Service, BreadcrumbList, FAQPage (если FAQ видим на странице)",P1,Переработка контента и SEO,Старый URL с данными GSC; сохранить и проверить доступность,UPDATE,/seo-prodvizhenie-sajtov-v-almaty; /seo-prodvizhenie-sajtov-v-astane; /seo-prodvizhenie-sajtov-v-karagande; /seo-prodvizhenie-sajtov-v-petropavlovske; /seo-prodvizhenie-sajtov-v-shimkente; /web-studiya; /web-studiya/seo-prodvizhenie/google; /web-studiya/seo-prodvizhenie/yandex; /seo-prodvizhenie-sajtov-v-aktau; /seo-prodvizhenie-sajtov-v-aktobe; /seo-prodvizhenie-sajtov-v-atyrau; /seo-prodvizhenie-sajtov-v-kokshetau; /seo-prodvizhenie-sajtov-v-kostanae; /seo-prodvizhenie-sajtov-v-kyzylorde; /seo-prodvizhenie-sajtov-v-pavlodare; /seo-prodvizhenie-sajtov-v-semee; /seo-prodvizhenie-sajtov-v-taldykorgane; /seo-prodvizhenie-sajtov-v-taraze; /seo-prodvizhenie-sajtov-v-turkestane; /seo-prodvizhenie-sajtov-v-uralske; /seo-prodvizhenie-sajtov-v-ust-kamenogorske,/; /keysy/prodvizhenie; /seo-prodvizhenie-sajtov-v-almaty; /seo-prodvizhenie-sajtov-v-astane; /seo-prodvizhenie-sajtov-v-karagande; /seo-prodvizhenie-sajtov-v-petropavlovske; /seo-prodvizhenie-sajtov-v-shimkente; /sozdanie-saitov; /web-studiya; /web-studiya/aeo-geo-prodvizhenie; /web-studiya/seo-prodvizhenie/google; /web-studiya/seo-prodvizhenie/yandex; /seo-prodvizhenie-sajtov-v-aktau; /seo-prodvizhenie-sajtov-v-aktobe; /seo-prodvizhenie-sajtov-v-atyrau; /seo-prodvizhenie-sajtov-v-kokshetau; /seo-prodvizhenie-sajtov-v-kostanae; /seo-prodvizhenie-sajtov-v-kyzylorde; /seo-prodvizhenie-sajtov-v-pavlodare; /seo-prodvizhenie-sajtov-v-semee; /seo-prodvizhenie-sajtov-v-taldykorgane; /seo-prodvizhenie-sajtov-v-taraze; /seo-prodvizhenie-sajtov-v-turkestane; /seo-prodvizhenie-sajtov-v-uralske; /seo-prodvizhenie-sajtov-v-ust-kamenogorske
25,4,SEO-продвижение,Продвижение в Google,/web-studiya/seo-prodvizhenie/google,Продвижение в Google,Продвижение сайта в Google — SEO для бизнеса,"Оптимизируем сайт под Google: семантика, страницы, контент, техническая база, E-E-A-T и рост целевых запросов.",Узкая услуга,"index, follow","Service, BreadcrumbList, FAQPage (если FAQ видим на странице)",P2,Структура/SEO,Не опубликована,NEW,/seo-prodvizhenie-sajtov,/; /keysy/prodvizhenie; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /web-studiya/aeo-geo-prodvizhenie
26,4,SEO-продвижение,Продвижение в Яндекс,/web-studiya/seo-prodvizhenie/yandex,Продвижение в Яндекс,Продвижение сайта в Яндекс — SEO и коммерческие факторы,"Продвигаем сайты в Яндекс: структура, тексты, поведенческие и коммерческие факторы, карты и локальная выдача.",Узкая услуга,"index, follow","Service, BreadcrumbList, FAQPage (если FAQ видим на странице)",P2,Структура/SEO,Не опубликована,NEW,/seo-prodvizhenie-sajtov,/; /keysy/prodvizhenie; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /web-studiya/aeo-geo-prodvizhenie
27,3,SEO-продвижение,SEO-продвижение сайтов в Петропавловске,/seo-prodvizhenie-sajtov-v-petropavlovske,SEO-продвижение сайтов в Петропавловске,SEO-продвижение сайтов в Петропавловске | Raskrutov,"SEO-продвижение сайтов компаний в Петропавловске: семантика, структура, техническая оптимизация, контент, аналитика и рост видимости в поиске.",Гео-услуга,"index, follow","Service (areaServed: Петропавловск), BreadcrumbList, FAQPage (если FAQ видим)",P1,Переработка контента и SEO,Старый URL с данными GSC; сохранить и проверить доступность,UPDATE,/seo-prodvizhenie-sajtov; /web-studiya; /web-studiya/petropavlovsk,/; /keysy/prodvizhenie; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /web-studiya/aeo-geo-prodvizhenie; /web-studiya/petropavlovsk; /sozdanie-saitov-v-Petropavlovske; /seo-prodvizhenie-sajtov-v-petropavlovske
28,3,SEO-продвижение,SEO-продвижение сайтов в Астане,/seo-prodvizhenie-sajtov-v-astane,SEO-продвижение сайтов в Астане,SEO-продвижение сайтов в Астане | Raskrutov,"SEO-продвижение сайтов компаний в Астане: семантика, структура, техническая оптимизация, контент, аналитика и рост видимости в поиске.",Гео-услуга,"index, follow","Service (areaServed: Астана), BreadcrumbList, FAQPage (если FAQ видим)",P1,Переработка контента и SEO,Старый URL с данными GSC; сохранить и проверить доступность,UPDATE,/seo-prodvizhenie-sajtov; /web-studiya; /web-studiya/astana,/; /keysy/prodvizhenie; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /web-studiya/aeo-geo-prodvizhenie; /web-studiya/astana; /sozdanie-saitov-v-astane; /seo-prodvizhenie-sajtov-v-astane
29,3,SEO-продвижение,SEO-продвижение сайтов в Алматы,/seo-prodvizhenie-sajtov-v-almaty,SEO-продвижение сайтов в Алматы,SEO-продвижение сайтов в Алматы | Raskrutov,"SEO-продвижение сайтов компаний в Алматы: семантика, структура, техническая оптимизация, контент, аналитика и рост видимости в поиске.",Гео-услуга,"index, follow","Service (areaServed: Алматы), BreadcrumbList, FAQPage (если FAQ видим)",P1,Переработка контента и SEO,Старый URL с данными GSC; сохранить и проверить доступность,UPDATE,/seo-prodvizhenie-sajtov; /web-studiya; /web-studiya/almaty,/; /keysy/prodvizhenie; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /web-studiya/aeo-geo-prodvizhenie; /web-studiya/almaty; /sozdanie-saitov-v-almaty; /seo-prodvizhenie-sajtov-v-almaty
30,3,SEO-продвижение,SEO-продвижение сайтов в Шымкенте,/seo-prodvizhenie-sajtov-v-shimkente,SEO-продвижение сайтов в Шымкенте,SEO-продвижение сайтов в Шымкенте | Raskrutov,"SEO-продвижение сайтов компаний в Шымкенте: семантика, структура, техническая оптимизация, контент, аналитика и рост видимости в поиске.",Гео-услуга,"index, follow","Service (areaServed: Шымкент), BreadcrumbList, FAQPage (если FAQ видим)",P1,Переработка контента и SEO,Старый URL с данными GSC; сохранить и проверить доступность,UPDATE,/seo-prodvizhenie-sajtov; /web-studiya; /web-studiya/shymkent,/; /keysy/prodvizhenie; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /web-studiya/aeo-geo-prodvizhenie; /web-studiya/shymkent; /sozdanie-saitov-v-shimkente; /seo-prodvizhenie-sajtov-v-shimkente
31,3,SEO-продвижение,SEO-продвижение сайтов в Караганде,/seo-prodvizhenie-sajtov-v-karagande,SEO-продвижение сайтов в Караганде,SEO-продвижение сайтов в Караганде | Raskrutov,"SEO-продвижение сайтов компаний в Караганде: семантика, структура, техническая оптимизация, контент, аналитика и рост видимости в поиске.",Гео-услуга,"index, follow","Service (areaServed: Караганда), BreadcrumbList, FAQPage (если FAQ видим)",P1,Переработка контента и SEO,Старый URL с данными GSC; сохранить и проверить доступность,UPDATE,/seo-prodvizhenie-sajtov; /web-studiya; /web-studiya/karaganda,/; /keysy/prodvizhenie; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /web-studiya/aeo-geo-prodvizhenie; /web-studiya/karaganda; /sozdanie-saitov-v-karagande; /seo-prodvizhenie-sajtov-v-karagande
